epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.0,0.0,0.0,0.0,45.0,40.7693,-0.03583680617522335,0,0,(G/(((r)**(0.5))*(((((exp(cos(1))+log(1))*(((((((((((G)**(-1)))**(0.5)))**(0.5)))**(-1)))**(2))+1))+G))**(-1)))),(G/(((r)**(0.5))*(((((exp(cos(1))+log(1))*(((((((((((G)**(-1)))**(0.5)))**(0.5)))**(-1)))**(2))+1))+G))**(-1))))
1,0.0002385401410537995,0.00477080282107599,0.5037493693123981,0.5037493693123981,27.0,41.1532,0.12260653648376146,6,6,(G*((((((((sin(cos((G*(((G)**(-1))+((G)**(-1))))))*m1))**(-1))*r))**(-1)))**(2))),(G*((((((((sin(cos((G*(((G)**(-1))+((G)**(-1))))))*m1))**(-1))*r))**(-1)))**(2)))
2,5.485984282708262e-05,0.0010971968565416524,0.5037493693123981,0.27591121551433456,35.0,40.6076,0.006616261144457035,3,3,((G/cos(log((exp(cos((1+((1)**(-1)))))/1))))/(((((m1/r))**(2)))**(-1))),(G*((((((((sin(cos((G*(((G)**(-1))+((G)**(-1))))))*m1))**(-1))*r))**(-1)))**(2)))
3,0.0,0.0,0.5037493693123981,0.0,47.0,40.2441,-0.03590403944544855,0,0,(log(cos(((cos(log(sin(sin((sin(log(1))/1))))))**(-1))))/(((1*(r/(((r)**(-1))-m2))))**(-1))),(G*((((((((sin(cos((G*(((G)**(-1))+((G)**(-1))))))*m1))**(-1))*r))**(-1)))**(2)))
4,0.00020159149503962254,0.004031829900792451,0.5761020348016901,0.5761020348016901,37.0,40.0626,0.11874963117079118,5,5,((((((((cos(((log(((((log(1)+1))**(-1))+1)))**(0.5))))**(-1)))**(2)))**(-1))*G)*(((m2/r))**(2))),((((((((cos(((log(((((log(1)+1))**(-1))+1)))**(0.5))))**(-1)))**(2)))**(-1))*G)*(((m2/r))**(2)))
5,0.0002576994570593341,0.0051539891411866825,0.5761020348016901,0.5302616933137633,17.0,39.9367,0.13405425508733804,7,7,(((((m2)**(-1))*(((G)**(-1))/(m2/((r)**(2))))))**(-1)),((((((((cos(((log(((((log(1)+1))**(-1))+1)))**(0.5))))**(-1)))**(2)))**(-1))*G)*(((m2/r))**(2)))
6,0.00023701566977264452,0.004740313395452891,0.5761020348016901,0.5532109684356061,30.0,39.5437,0.13091411666600294,7,7,(G*(((m2)**(2))/(((((sin(exp(((sin(1))**(0.5))))*((r)**(-1))))**(-1)))**(2)))),((((((((cos(((log(((((log(1)+1))**(-1))+1)))**(0.5))))**(-1)))**(2)))**(-1))*G)*(((m2/r))**(2)))
7,0.0004145084893112732,0.008290169786225461,0.5929382769698364,0.5929382769698364,35.0,39.2548,0.2515210230131602,11,11,((((((((((((1)**(-1)))**(2))+(((1/((1)**(-1))))**(2))))**(0.5))/G)/1)*(((((m2/r))**(2)))**(-1))))**(-1)),((((((((((((1)**(-1)))**(2))+(((1/((1)**(-1))))**(2))))**(0.5))/G)/1)*(((((m2/r))**(2)))**(-1))))**(-1))
8,0.0005730332892721986,0.011460665785443974,0.5929382769698364,0.5849368860517551,27.0,38.9068,0.327274541189703,14,14,(((((G)**(0.5))/((((1/((sin(((1)**(-1))))**(2)))*r)/m2)*1)))**(2)),((((((((((((1)**(-1)))**(2))+(((1/((1)**(-1))))**(2))))**(0.5))/G)/1)*(((((m2/r))**(2)))**(-1))))**(-1))
9,0.0005006610111976306,0.010013220223952608,0.5929382769698364,0.5359746589876252,35.0,38.4253,0.2436372742858606,17,17,(G*(cos(cos((sin(log(((cos(((1)**(2))))**(2))))-sin(1))))*(((m1/r))**(2)))),((((((((((((1)**(-1)))**(2))+(((1/((1)**(-1))))**(2))))**(0.5))/G)/1)*(((((m2/r))**(2)))**(-1))))**(-1))
10,0.000597038888091627,0.01194077776183254,0.9239727647069389,0.9239727647069389,17.0,38.1115,0.32712942801209494,23,23,(m2*(1/(r*(((m1)**(-1))*(((G/r))**(-1)))))),(m2*(1/(r*(((m1)**(-1))*(((G/r))**(-1))))))
11,0.0009485215191425126,0.018970430382850255,0.9239727647069389,0.5411697735303959,36.0,37.7777,0.5455824392784352,31,31,(G*((((r*m1)*(cos(exp(((log((1*cos(1))))**(-1))))*(((r/((r)**(-1))))**(-1)))))**(2))),(m2*(1/(r*(((m1)**(-1))*(((G/r))**(-1))))))
12,0.001573266698315237,0.03146533396630474,0.9999541010029765,0.9999541010029765,18.0,37.2209,0.951508562684355,42,42,(G*((m2*1)*(((((m1)**(-1))*(r/((r)**(-1)))))**(-1)))),(G*((m2*1)*(((((m1)**(-1))*(r/((r)**(-1)))))**(-1))))
13,0.0017906410498488032,0.035812820996976066,0.9999999999999998,0.9999999999999998,23.0,36.2835,1.0241038346457458,41,41,(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
14,0.002822999477010503,0.05645998954021005,0.9999999999999998,0.9999999999999998,24.0,35.2877,1.6758630228244775,65,65,(m1/((((r/(((G/((r/r)/m2)))**(0.5))))**(2))*1)),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
15,0.00435458946902504,0.0870917893805008,0.9999999999999998,0.9999999999999998,17.0,34.4347,2.3310867822779198,107,107,(G*((G*(m2/G))*((m1*((r)**(-1)))/r))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
16,0.005817759611761339,0.11635519223522679,0.9999999999999998,0.9999999999999998,27.0,33.8806,3.135908607604263,133,133,(m1*(G*((((1/(G/1)))**(-1))*(m2/(G/(1*((((r)**(2)))**(-1)))))))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
17,0.005986845653594368,0.11973691307188734,0.9999999999999998,0.9999999999999998,22.0,33.2693,3.1060519414830177,144,144,((((m1/m1)*((((1)**(-1))*G)/r))*m1)*(((r/m2))**(-1))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
18,0.010577083129806373,0.21154166259612747,0.9999999999999998,0.9999999999999998,23.0,32.5825,5.244909464533427,224,224,((1*m2)*(r*((m1/((r)**(2)))/(((1/(r/G)))**(-1))))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
19,0.012619491879544493,0.2523898375908898,0.9999999999999998,0.9999999999999998,16.0,32.0381,6.195756134354839,273,273,(m2*(((m1*1)*G)*(((r/((r)**(-1))))**(-1)))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
20,0.016262797760472854,0.32525595520945705,0.9999999999999998,0.9999999999999998,29.0,31.4279,7.760258311820964,344,344,((m1*((r)**(-1)))/(r/((m2/r)/(((r/(G*(((1/G))**(2)))))**(-1))))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
21,0.01735119536800758,0.3470239073601516,0.9999999999999998,0.9999999999999998,18.0,31.1858,8.258010676240398,379,379,((G*(G*m1))*(m2/(r/(1/(r*G))))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
22,0.02231128459972911,0.44622569199458234,0.9999999999999998,0.9999999999999998,16.0,30.9399,10.415769944022822,447,447,(1*(m1/(r*(((m2/(r/G)))**(-1))))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
23,0.024078531432111278,0.4815706286422255,0.9999999999999998,0.9999999999999998,22.0,30.9495,10.955900226884077,491,491,(m2*(G*((((r)**(-1))*((r)**(-1)))/(r/(m1/((r)**(-1))))))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
24,0.03343521532551267,0.6375593793920015,0.9999999999999998,0.9999999999999998,20.0,30.8082,6.91275622525185,618,618,(m2*((m1*G)*((((r/G))**(-1))/(G/((r)**(-1)))))),(m1*(((((((m2)**(-1))/G)*r)*(G/(((r*((G)**(-1))))**(-1)))))**(-1)))
