epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.00026898755481992936,0.005379751096398587,0.7629243242113489,0.7629243242113489,21.0,40.0394,0.09728489901787887,5,5,(((r*(((1*((((((G/r))**(-1))/(m2*m1)))**(-1))))**(-1))))**(-1)),(((r*(((1*((((((G/r))**(-1))/(m2*m1)))**(-1))))**(-1))))**(-1))
1,0.00026874424750068354,0.005374884950013672,0.7629243242113489,0.5996096920622538,37.0,39.5989,0.13865723038477112,6,5,(((((((1)**(-1))*log(cos(((((exp((r/r)))**(-1)))**(0.5)))))/G))**(-1))*(((m2/r))**(2))),(((r*(((1*((((((G/r))**(-1))/(m2*m1)))**(-1))))**(-1))))**(-1))
2,0.00017314434992883593,0.0034628869985767184,0.7629243242113489,0.5996096920608424,20.0,39.6496,0.07654540679336247,5,4,(G*((((((((((m1-(m2+m1))/m2)*m2))**(-1))*r))**(2)))**(-1))),(((r*(((1*((((((G/r))**(-1))/(m2*m1)))**(-1))))**(-1))))**(-1))
3,0.00023907098310783836,0.004781419662156767,0.7629243242113489,0.6065578169394374,15.0,39.3518,0.08004119575474615,4,4,(G*(((m2*((m1/(r+r))/m2)))**(2))),(((r*(((1*((((((G/r))**(-1))/(m2*m1)))**(-1))))**(-1))))**(-1))
4,0.0006009928979397505,0.012019857958795009,0.8297090815414422,0.8297090815414422,15.0,39.0877,0.29015563737783034,12,11,(((((G)**(-1))*(((r*(((m1+m2))**(-1))))**(2))))**(-1)),(((((G)**(-1))*(((r*(((m1+m2))**(-1))))**(2))))**(-1))
5,0.00045322345566427014,0.009064469113285406,0.9654344707119102,0.9654344707119102,37.0,38.5713,0.2302951085965244,10,10,(m2*(G*(((log(cos(((exp(1))**(-1))))/(((1/(r*(((1/m1))**(0.5)))))**(2))))**(-1)))),(m2*(G*(((log(cos(((exp(1))**(-1))))/(((1/(r*(((1/m1))**(0.5)))))**(2))))**(-1))))
6,0.0006030789325053231,0.012061578650106462,0.9999800319463895,0.9999800319463895,33.0,37.9142,0.3886708521539072,14,11,(m2*(((r*((((sin((G/G))*G)*(m1*(((((r/(1/r)))**(-1)))**(0.5)))))**(-1))))**(-1))),(m2*(((r*((((sin((G/G))*G)*(m1*(((((r/(1/r)))**(-1)))**(0.5)))))**(-1))))**(-1)))
7,0.0005552691792204852,0.011105383584409705,0.9999800319463895,0.6059094198351032,25.0,37.1179,0.3169150661363911,11,11,(exp(1)*((((m1/r)*(r*(G/(r*((G)**(0.5)))))))**(2))),(m2*(((r*((((sin((G/G))*G)*(m1*(((((r/(1/r)))**(-1)))**(0.5)))))**(-1))))**(-1)))
8,0.001468569514645711,0.029371390292914218,0.9999800319463895,0.9657344580690871,25.0,36.1798,0.787601855837691,31,29,(((G)**(-1))*(((m2/((m1)**(-1)))/exp(1))/(((r/G))**(2)))),(m2*(((r*((((sin((G/G))*G)*(m1*(((((r/(1/r)))**(-1)))**(0.5)))))**(-1))))**(-1)))
9,0.0018478221624999278,0.03695644324999855,0.9999999999999998,0.9999999999999998,19.0,35.0785,1.0589643036333691,41,36,((m1/G)*(m2*(((((((r)**(2))/(G*r)))**(2)))**(-1)))),((m1/G)*(m2*(((((((r)**(2))/(G*r)))**(2)))**(-1))))
