epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
0,0.0016245088248298984,0.032490176496597974,0.5870810551710532,0.5870810551710532,7.0,22.868,0.5715107155053252,4,3,(m/(((z/((g)**(-1))))**(-1))),(m/(((z/((g)**(-1))))**(-1))),[3.57062294 3.57062294],[3.57062294 3.57062294]
1,0.0020516058552907117,0.04103211710581423,0.5870810551710532,0.534902452717172,6.0,22.731,0.9551099145223896,4,4,(((((m)**(-1))/((v_z)**(2))))**(-1)),(m/(((z/((g)**(-1))))**(-1))),[1.        1.1958006],[3.57062294 3.57062294]
2,0.002735284375623127,0.05470568751246254,0.5870810551710639,0.5870810551710639,16.0,22.567,1.4742774640218472,9,5,(exp(((((1)**(-1)))**(2)))*(exp(((((1)**(2)))**(-1)))/(((g*(m*z)))**(-1)))),(exp(((((1)**(-1)))**(2)))*(exp(((((1)**(2)))**(-1)))/(((g*(m*z)))**(-1)))),[1.31355895 1.31355895],[1.31355895 1.31355895]
3,0.003718729306782336,0.07437458613564674,0.5870810551710639,0.5870810551710639,12.0,22.439,1.8616263564989326,9,7,((m*z)*(sin((((((v_z)**(-1))*v_z))**(-1)))*g)),(exp(((((1)**(-1)))**(2)))*(exp(((((1)**(2)))**(-1)))/(((g*(m*z)))**(-1)))),[3.89246286 3.89246286],[1.31355895 1.31355895]
4,0.003663239183351685,0.07326478366703369,0.5870810551710639,0.5870810551710638,14.0,22.249,2.0236389855222474,8,7,(z*(exp((((((log(((1)**(-1))))**(2)))**(-1))+1))*(m*g))),(exp(((((1)**(-1)))**(2)))*(exp(((((1)**(2)))**(-1)))/(((g*(m*z)))**(-1)))),[2.16569258 2.16569258],[1.31355895 1.31355895]
5,0.005127193689177876,0.10254387378355753,0.5870810551710639,0.5870810551710639,17.0,22.014,2.4852062980826592,13,9,(m*(exp(((((m/((m)**(2)))*m))**(2)))*(z/(g/((g)**(2)))))),(exp(((((1)**(-1)))**(2)))*(exp(((((1)**(2)))**(-1)))/(((g*(m*z)))**(-1)))),[2.16569258 2.16569258],[1.31355895 1.31355895]
6,0.0036648499653488564,0.07329699930697711,0.5870810551710639,0.5870810551710532,14.0,21.633,1.5913033264670882,12,7,(1*(((((m)**(-1))/((z/m)/(((m*g))**(-1)))))**(-1))),(exp(((((1)**(-1)))**(2)))*(exp(((((1)**(2)))**(-1)))/(((g*(m*z)))**(-1)))),[3.57062294 3.57062294],[1.31355895 1.31355895]
7,0.0072198680541956176,0.14439736108391235,0.9999999979669703,0.9999999979669703,18.0,21.318,3.791577499908514,16,13,(1*((m/(v_z/(v_z*(z*(1*g)))))-(m*((v_z)**(2))))),(1*((m/(v_z/(v_z*(z*(1*g)))))-(m*((v_z)**(2))))),[-9.79999997 -1.5       ],[-9.79999997 -1.5       ]
8,0.010863070661990918,0.21726141323981835,0.9999999979669703,0.5870901030102093,13.0,20.846,5.2657839138526095,30,20,(((z)**(2))*((((z*z)/(m*(g*z))))**(-1))),(1*((m/(v_z/(v_z*(z*(1*g)))))-(m*((v_z)**(2))))),[3.57067936 3.57067936],[-9.79999997 -1.5       ]
9,0.012737060376871386,0.25474120753742774,0.9999999979669703,0.9999999825784679,13.0,20.454,6.361779091348302,45,23,(m*((1*(((((z)**(-1))*((g)**(-1))))**(-1)))+((v_z)**(2)))),(1*((m/(v_z/(v_z*(z*(1*g)))))-(m*((v_z)**(2))))),[9.79999972 1.50000003],[-9.79999997 -1.5       ]
10,0.01731574606596586,0.34631492131931724,0.9999999979669703,0.5870810551710639,12.0,20.182,8.237487916333954,59,32,(z*((exp((((1)**(-1))/((1)**(-1))))*g)*m)),(1*((m/(v_z/(v_z*(z*(1*g)))))-(m*((v_z)**(2))))),[2.16569258 2.16569258],[-9.79999997 -1.5       ]
