epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical
0,0.0019094053334892073,0.038188106669784144,0.5650115201371063,0.5650115201371063,26.0,36.189,1.0924661836698932,4
1,0.0030649325466725504,0.061298650933451014,0.5650115201371063,0.5108220911120918,5.0,36.13,1.0876541198710694,6
2,0.0020886492869756925,0.041772985739513845,0.5650115201371063,0.5561830136394171,25.0,35.688,1.2651520289300857,4
3,0.0037293906799563477,0.07458781359912696,0.5650115201371063,0.5650115201371063,18.0,35.388,2.1705618491535343,7
4,0.005018051635807366,0.10036103271614732,0.5650115201371063,0.5650115201371063,19.0,34.9,2.683217385546126,10
5,0.0031114822925951088,0.062229645851902174,0.5650115201371063,0.5650115201371062,13.0,34.333,1.517469493861326,6
6,0.004752327423981415,0.09504654847962829,0.5650115201371063,0.5650115201371063,19.0,33.666,2.1581543503699363,9
7,0.007340493952411894,0.1468098790482379,0.5650115201371063,0.5650115201371063,22.0,32.751,3.972896056972711,14
8,0.013107449587099527,0.2621489917419905,0.5650115201371063,0.5650115201371063,13.0,31.318,6.583288844995721,26
9,0.02542727542993232,0.5085455085986464,0.5650115201371063,0.5650115201371063,24.0,29.555,1.3218064377900356,50
10,0.030547213813531135,0.5124501844866723,0.5650115201371063,0.5650115201371063,20.0,28.027,1.3395655906759592,61
11,0.04288871633651956,0.516461727516228,0.5650115201371063,0.5650115201371063,20.0,26.792,0.09276445577050094,85
12,0.049553302319662776,0.5497999324342089,0.9999999960648209,0.9999999960648209,28.0,25.952,0.9951561751218224,96
13,0.06547504667700227,0.5379757274474862,0.9999999995695965,0.9999999995695965,21.0,25.487,0.5860370105607448,130
14,0.07666593455436588,0.5336111121583138,0.9999999995695965,0.9999999951230178,15.0,25.06,0.43197164668862864,152
15,0.08262039217465997,0.5390595160021152,0.9999999995695965,0.9999999994022204,20.0,25.108,0.576883836552176,162
16,0.08731208336785881,0.5390305289735736,0.9999999995695965,0.9999999951230178,24.0,24.614,0.6168532700170666,170
17,0.08753347092944608,0.5444784580887719,0.9999999995695965,0.9999999960648209,23.0,24.421,0.7305828253904019,170
18,0.09741332453704114,0.5631457920565685,0.9999999995695965,0.9999999984114465,22.0,23.911,1.1142152769424802,187
19,0.09815378415162786,0.5792186152397523,0.9999999995695965,0.9999999995483357,28.0,23.581,1.2802670601370605,188
20,0.09715684731042652,0.5846375521310211,0.9999999995695965,0.9999999960648209,21.0,23.366,1.4323857455434237,185
21,0.11321828970972272,0.5976724739891422,0.9999999995695965,0.9999999951230178,13.0,22.843,1.5524597765443235,217
22,0.10963317283238375,0.617210133954919,0.9999999995695965,0.9999999960648209,15.0,22.593,0.9813043991755395,204
