#name zcmb zhel dz mb dmb
03D1au 0.50309 0.50309 0.0 22.93445 0.12605 
03D1ax 0.4948 0.4948 0.0 22.8802 0.11765 
03D1co 0.67767 0.67767 0.0 24.0377 0.2056 
03D1ew 0.8665 0.8665 0.0 24.34685 0.17385 
03D1fq 0.79857 0.79857 0.0 24.3605 0.17435 
03D3ay 0.37144 0.37144 0.0 22.28785 0.1245 
03D3bl 0.35582 0.35582 0.0 22.05915 0.12645 
03D4ag 0.2836 0.2836 0.0 21.40915 0.1028 
03D4au 0.4664 0.4664 0.0 23.21635 0.1587 
03D4cx 0.94688 0.94688 0.0 24.41155 0.1642 
03D4cz 0.69315 0.69315 0.0 23.79645 0.24445 
03D4di 0.89693 0.89693 0.0 24.40275 0.16645 
03D4fd 0.78904 0.78904 0.0 24.2188 0.11585 
03D4gg 0.59027 0.59027 0.0 23.3354 0.1666 
04D1dc 0.21075 0.21075 0.0 20.64495 0.10525 
04D1ff 0.85852 0.85852 0.0 24.1237 0.1478 
04D1hx 0.55875 0.55875 0.0 23.1648 0.1335 
04D1iv 0.9964 0.9964 0.0 24.69965 0.1408 
04D1jg 0.58294 0.58294 0.0 23.34385 0.1258 
04D1ks 0.79656 0.79656 0.0 23.85445 0.1588 
04D1ow 0.91348 0.91348 0.0 24.37895 0.13735 
04D1pd 0.94846 0.94846 0.0 24.66675 0.15105 
04D1pp 0.73362 0.73362 0.0 23.8481 0.15575 
04D1qd 0.7656 0.7656 0.0 24.10805 0.1549 
04D1rx 0.98341 0.98341 0.0 24.828 0.153 
04D1si 0.70064 0.70064 0.0 23.7492 0.1738 
04D2al 0.83814 0.83814 0.0 24.1545 0.1807 
04D2cf 0.3706 0.3706 0.0 22.1401 0.1211 
04D2fs 0.35858 0.35858 0.0 21.95965 0.1186 
04D2gc 0.52278 0.52278 0.0 23.15915 0.14165 
04D2iu 0.70198 0.70198 0.0 23.7115 0.26255 
04D2kr 0.74613 0.74613 0.0 23.8056 0.16465 
04D2mh 0.59185 0.59185 0.0 23.2429 0.12625 
04D3co 0.62063 0.62063 0.0 23.5114 0.1131 
04D3dd 1.00279 1.00279 0.0 25.0798 0.19135 
04D3do 0.61064 0.61064 0.0 23.47615 0.1329 
04D3fk 0.35833 0.35833 0.0 21.9694 0.11425 
04D3gt 0.45155 0.45155 0.0 22.4159 0.12515 
04D3hn 0.5526 0.5526 0.0 22.98515 0.13425 
04D3ks 0.75068 0.75068 0.0 23.763 0.19155 
04D3lu 0.82269 0.82269 0.0 24.3356 0.14625 
04D3ml 0.95076 0.95076 0.0 24.68515 0.14485 
04D3nh 0.34052 0.34052 0.0 21.9463 0.10555 
04D3ny 0.81072 0.81072 0.0 24.0795 0.17055 
04D4an 0.61124 0.61124 0.0 23.7392 0.1593 
04D4bq 0.54831 0.54831 0.0 22.8926 0.1438 
04D4dw 1.02879 1.02879 0.0 24.7289 0.16015 
04D4gg 0.42244 0.42244 0.0 22.35675 0.1192 
04D4hu 0.70115 0.70115 0.0 23.90875 0.1805 
04D4ic 0.68517 0.68517 0.0 23.844 0.2326 
04D4ih 0.93189 0.93189 0.0 24.54795 0.15235 
04D4im 0.74909 0.74909 0.0 23.81055 0.18275 
04D4jr 0.4684 0.4684 0.0 22.73255 0.11785 
04D4jw 0.95886 0.95886 0.0 24.80665 0.17245 
05D1az 0.84053 0.84053 0.0 24.22255 0.1456 
05D1cc 0.56276 0.56276 0.0 23.2428 0.11755 
05D1cl 0.82854 0.82854 0.0 24.39785 0.1526 
05D1dx 0.57875 0.57875 0.0 23.22495 0.12065 
05D1em 0.8645 0.8645 0.0 24.3693 0.14625 
05D1er 0.85851 0.85851 0.0 24.4442 0.16535 
05D1hm 0.58575 0.58575 0.0 23.5694 0.1417 
05D1ix 0.48881 0.48881 0.0 22.8653 0.1136 
05D1ke 0.68866 0.68866 0.0 23.6132 0.1518 
05D2ab 0.32454 0.32454 0.0 21.79365 0.10225 
05D2ah 0.18538 0.18538 0.0 20.4558 0.10405 
05D2bt 0.68196 0.68196 0.0 23.59755 0.1484 
05D2bw 0.92223 0.92223 0.0 24.355 0.1708 
05D2cb 0.42866 0.42866 0.0 22.751 0.1294 
05D2ck 0.69998 0.69998 0.0 23.95255 0.2153 
05D2dt 0.57584 0.57584 0.0 23.38495 0.13845 
05D2dy 0.51176 0.51176 0.0 23.11305 0.1165 
05D2ec 0.64191 0.64191 0.0 23.62155 0.1659 
05D2hc 0.35157 0.35157 0.0 22.2272 0.1136 
05D2ie 0.34957 0.34957 0.0 22.14445 0.11065 
05D2mp 0.35527 0.35527 0.0 22.23665 0.113 
05D2nn 0.87217 0.87217 0.0 24.3402 0.1332 
05D2ob 0.92624 0.92624 0.0 24.7687 0.10935 
05D3cf 0.41957 0.41957 0.0 22.59095 0.12095 
05D3cq 0.89073 0.89073 0.0 24.1804 0.14085 
05D3dd 0.48057 0.48057 0.0 22.7752 0.1151 
05D3gp 0.5806 0.5806 0.0 23.36785 0.1608 
05D3ha 0.80569 0.80569 0.0 24.09575 0.1555 
05D3hs 0.66464 0.66464 0.0 23.6337 0.1611 
05D3jb 0.74566 0.74566 0.0 24.00735 0.1527 
05D3jk 0.73669 0.73669 0.0 23.77845 0.1399 
05D3jr 0.37053 0.37053 0.0 22.04575 0.11295 
05D3kp 0.85073 0.85073 0.0 24.31865 0.1304 
05D3kx 0.21946 0.21946 0.0 20.8469 0.1023 
05D3lb 0.64764 0.64764 0.0 23.6259 0.1613 
05D3lr 0.6006 0.6006 0.0 23.4022 0.15455 
05D3mn 0.7607 0.7607 0.0 23.92525 0.14995 
05D3mx 0.47057 0.47057 0.0 22.804 0.1221 
05D4af 0.49737 0.49737 0.0 22.9275 0.13225 
05D4av 0.50736 0.50736 0.0 22.9705 0.1253 
05D4bf 0.58728 0.58728 0.0 23.44375 0.14055 
05D4bj 0.69915 0.69915 0.0 23.77905 0.15635 
05D4cn 0.76108 0.76108 0.0 24.05415 0.16035 
05D4cs 0.78805 0.78805 0.0 24.1069 0.13815 
05D4dt 0.40547 0.40547 0.0 22.564 0.11045 
05D4dy 0.80804 0.80804 0.0 24.55735 0.16345 
05D4ej 0.58328 0.58328 0.0 23.6081 0.12955 
05D4ev 0.72013 0.72013 0.0 24.0226 0.19335 
05D4fg 0.83699 0.83699 0.0 24.3054 0.1427 
05D4gw 0.80603 0.80603 0.0 24.2544 0.1837 
06D2bk 0.50074 0.50074 0.0 23.0505 0.13595 
06D2cc 0.53378 0.53378 0.0 22.9345 0.1665 
