epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.0578927156617238,0.5626692945042386,0.8406575156825927,0.8406575156825927,21.0,30.421,1.406086107787027,216,202,((((1+(((((((x)**(0.5))+Omega))**(0.5)))**(0.5))))**(2))*H0),((((1+(((((((x)**(0.5))+Omega))**(0.5)))**(0.5))))**(2))*H0)
1,0.058146234494865195,0.598293493358397,0.8406575156825927,0.814874943119311,18.0,30.311,2.5841059670770665,204,195,(((((1+((x)**(0.5)))-Omega))**(0.5))/((H0)**(-1))),((((1+(((((((x)**(0.5))+Omega))**(0.5)))**(0.5))))**(2))*H0)
2,0.06253300734560589,0.5737216755653377,0.8406575156825927,0.7911971534711989,18.0,30.104,1.7861910312357012,219,212,(((((Omega/x))**(0.5))*((x+Omega)*(H0+H0)))+H0),((((1+(((((((x)**(0.5))+Omega))**(0.5)))**(0.5))))**(2))*H0)
3,0.055182452215169986,0.5683856658343314,0.8463088336929537,0.8463088336929537,17.0,30.376,1.691402510334137,203,193,(H0+((((1-Omega)/((1+x)/H0))+H0)+H0)),(H0+((((1-Omega)/((1+x)/H0))+H0)+H0))
4,0.05814316941948544,0.60201577361941,0.8879854308300177,0.8879854308300177,25.0,30.055,2.7019070894951445,214,205,((((((((Omega/((Omega*((Omega)**(-1)))/1))*x))**(0.5)))**(0.5))+1)*H0),((((((((Omega/((Omega*((Omega)**(-1)))/1))*x))**(0.5)))**(0.5))+1)*H0)
5,0.06860324222085623,0.6419015975205761,0.8879854308300177,0.8879854308300028,23.0,29.117,3.6674845707774386,230,225,(H0+(((((((((((x*Omega)/1))**(0.5)))**(-1)))**(0.5))/H0))**(-1))),((((((((Omega/((Omega*((Omega)**(-1)))/1))*x))**(0.5)))**(0.5))+1)*H0)
6,0.08144874919769521,0.6550879420100229,0.8879854308300177,0.7900291961960915,18.0,28.257,3.9307357347760408,259,251,((((((((x/((1)**(-1))))**(0.5))+Omega))**(2))*H0)+H0),((((((((Omega/((Omega*((Omega)**(-1)))/1))*x))**(0.5)))**(0.5))+1)*H0)
7,0.08821563350796026,0.6780289481351612,0.8879854308300177,0.8023000875713078,19.0,27.786,2.5912543057588944,284,282,(((((((((x*Omega)+Omega)*x))**(0.5)))**(0.5))-Omega)*H0),((((((((Omega/((Omega*((Omega)**(-1)))/1))*x))**(0.5)))**(0.5))+1)*H0)
8,0.10749754720991066,0.7123191207539137,0.8879854308300177,0.7978883685474705,19.0,27.159,0.3932116348626405,295,292,(H0*(((((((((Omega+Omega))**(-1))*Omega)*x)*1))**(0.5))+Omega)),((((((((Omega/((Omega*((Omega)**(-1)))/1))*x))**(0.5)))**(0.5))+1)*H0)
9,0.11491307502615546,0.7021537221011076,0.8879854308300177,0.7876608543188813,21.0,26.368,0.12814922156615272,307,305,(1*(((((((1/(1*Omega))/Omega)+x))**(0.5))+Omega)*H0)),((((((((Omega/((Omega*((Omega)**(-1)))/1))*x))**(0.5)))**(0.5))+1)*H0)
10,0.13850340948611348,0.7110083312158473,0.9039662661791402,0.9039662661791402,22.0,25.66,0.2691380056166396,339,339,((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega),((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega)
11,0.15649892937971266,0.7142892050339164,0.9039662661791402,0.8622509311856391,20.0,25.011,0.32107795459530447,371,369,((x/((((((Omega*Omega)+Omega)*Omega)+x)/Omega)/H0))+H0),((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega)
12,0.15822377848427469,0.7228029524404639,0.9039662661791402,0.8879854308108986,23.0,24.769,0.528301906300327,369,366,((((((((((x/Omega)/Omega))**(0.5)))**(0.5))+Omega)*H0)+H0)+H0),((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega)
13,0.18546478086390364,0.7225831618158054,0.9039662661791402,0.8688963177691226,22.0,24.306,0.5463290815599416,427,427,((((x*(((((((Omega/Omega)*x)+x)+Omega))**(-1))+Omega))*H0)+H0)+H0),((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega)
14,0.16878705565393767,0.7195478137188374,0.9039662661791402,0.8790848718674396,21.0,24.949,0.4455458321208183,411,409,(((((((((x*(Omega*Omega)))**(0.5))/Omega)+Omega)/H0))**(-1))+H0),((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega)
15,0.18055973898957087,0.7276503170490979,0.9039662661791402,0.8879854308521419,25.0,24.795,0.6814167033635312,439,439,(((((((x)**(0.5))/(Omega*((Omega+(Omega+Omega))/Omega))))**(0.5))+Omega)*H0),((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega)
16,0.18936166876714436,0.7425404308776008,0.9039662661791402,0.9004628922396649,20.0,25.135,1.0220949813457947,456,456,((((Omega*(((x*x)/x)/(x+Omega)))/1)*H0)+H0),((((x/((((Omega+(x+1))+x)*x)/Omega))*H0)+H0)/Omega)
