epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.07740155720845059,0.8503044000852555,0.9744035178410306,0.9744035178410306,18.0,30.985,1.7246367115046206,208,101,(((((x*((x+1)*(H0/Omega)))+H0)+H0)-H0)+H0),(((((x*((x+1)*(H0/Omega)))+H0)+H0)-H0)+H0)
1,0.09036786329513315,0.8748091045733052,0.9794082729672714,0.9794082729672714,25.0,30.25,1.5795430796212435,217,116,((((((x)**(2))*H0)/(((x/((((((H0)**(0.5)))**(-1)))**(2))))**(0.5))))**(2)),((((((x)**(2))*H0)/(((x/((((((H0)**(0.5)))**(-1)))**(2))))**(0.5))))**(2))
2,0.10671764615527507,0.9083298502954704,0.9964376316492026,0.9964376316492026,22.0,29.706,1.6324010253061343,245,136,(((((Omega-x)/((((x)**(-1)))**(0.5))))**(2))/(1/(Omega*H0))),(((((Omega-x)/((((x)**(-1)))**(0.5))))**(2))/(1/(Omega*H0)))
3,0.10433185946682291,0.8958655932408622,0.9997623323728543,0.9997623323728543,13.0,28.521,1.4585752364054423,256,135,(((Omega*((1*x)*(x*x)))*H0)-H0),(((Omega*((1*x)*(x*x)))*H0)-H0)
4,0.136924238602193,0.9076473736531173,0.9997623323728543,0.9981962432569985,16.0,28.223,1.5143611903924816,287,178,((((((Omega/x)*Omega)-x))**(2))*((x*Omega)*H0)),(((Omega*((1*x)*(x*x)))*H0)-H0)
5,0.15132999097198205,0.9304349593082015,0.9997623323728543,0.9973411462405843,29.0,27.501,1.6406379129295505,287,195,(((((((((x/1))**(0.5))*x)/1)-Omega)*(((((Omega*((H0)**(-1))))**(0.5)))**(-1))))**(2)),(((Omega*((1*x)*(x*x)))*H0)-H0)
6,0.19416335218003036,0.9378132817572584,0.9997623323728543,0.9915327799285211,21.0,26.179,0.6856096040430762,336,247,(x*((((Omega)**(2))-((1-((x*H0)/H0))*x))/((H0)**(-1)))),(((Omega*((1*x)*(x*x)))*H0)-H0)
7,0.24361072236081413,0.9584928999734919,0.9997623323728543,0.9969039235333121,17.0,24.209,1.0602160849289086,405,307,((((x-Omega)/1)*(x*(Omega/((H0)**(-1)))))+H0),(((Omega*((1*x)*(x*x)))*H0)-H0)
8,0.27064832499945746,0.9697692884133423,0.9999977873301408,0.9999977873301408,20.0,23.313,0.44354000119743453,422,341,(((((((Omega*(1*(x*x)))*x)/x)*Omega)*x)*H0)-H0),(((((((Omega*(1*(x*x)))*x)/x)*Omega)*x)*H0)-H0)
9,0.29122767590538867,0.9759647860889626,0.9999977873301408,0.9999948965102806,22.0,22.831,0.43790665822918456,439,361,((x*((x*x)*((((x/Omega))**(2))/(x*(x/H0)))))-H0),(((((((Omega*(1*(x*x)))*x)/x)*Omega)*x)*H0)-H0)
10,0.3126580738408851,0.98199295124137,0.9999977873301408,0.9984532828999192,14.0,22.229,0.028756071083713017,467,377,(H0*(((x/Omega)*(((x*Omega))**(2)))-x)),(((((((Omega*(1*(x*x)))*x)/x)*Omega)*x)*H0)-H0)
11,0.30538147562127593,0.9826448321844414,0.9999977873301408,0.9999648994375315,18.0,22.326,0.13874287290644025,443,373,((H0*(((((x/x)*x)*(x*1))*x)-Omega))*Omega),(((((((Omega*(1*(x*x)))*x)/x)*Omega)*x)*H0)-H0)
12,0.31980286781448425,0.9835730386097511,0.9999977873301408,0.9997623323732748,17.0,21.493,0.08163933577756519,469,389,((x*(x/(x/(x*(x*(Omega*H0))))))-H0),(((((((Omega*(1*(x*x)))*x)/x)*Omega)*x)*H0)-H0)
13,0.3376990042251364,0.9818260877293199,0.9999977873301408,0.9999977873301399,16.0,21.355,0.015604929373102126,480,404,((x*(x/(((Omega*(Omega*(x*H0))))**(-1))))-H0),(((((((Omega*(1*(x*x)))*x)/x)*Omega)*x)*H0)-H0)
14,0.3413572706107933,0.9824487547744297,0.999998709968575,0.999998709968575,17.0,20.943,0.031145132967214828,497,411,((x*(x/(x*(Omega/(x*(x*H0))))))-H0),((x*(x/(x*(Omega/(x*(x*H0))))))-H0)
15,0.3478171833729137,0.9843601608809022,0.9999987099685759,0.9999987099685759,20.0,21.017,0.06786831402637558,466,409,(((x/((x*Omega)/x))*(x/(((x*H0))**(-1))))-H0),(((x/((x*Omega)/x))*(x/(((x*H0))**(-1))))-H0)
16,0.3450960514442158,0.9837350020305791,0.9999987099685759,0.9997623323708545,16.0,20.632,0.04578291649999201,480,410,((x*(((x/x)*Omega)*(x*(x*H0))))-H0),(((x/((x*Omega)/x))*(x/(((x*H0))**(-1))))-H0)
17,0.3573150684366422,0.9837222891761976,0.9999987099685759,0.9999977873301414,18.0,20.246,0.05013461997300531,478,418,(((((x*(Omega*(Omega*(Omega*x))))*x)/Omega)*H0)-H0),(((x/((x*Omega)/x))*(x/(((x*H0))**(-1))))-H0)
