epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
0,0.07577279428941347,0.7954781678029313,0.8865691223282656,0.8865691223282656,16.0,20.393,0.4803075820715118,230,99,(((((((((((sin(((1)**(0.5))))**(-1))/H0))**(-1)))**(2))*x)+(Omega*((H0)**(2)))))**(0.5)),(((((((((((sin(((1)**(0.5))))**(-1))/H0))**(-1)))**(2))*x)+(Omega*((H0)**(2)))))**(0.5)),[10.63253976 -0.71523894],[10.63253976 -0.71523894]
1,0.06285660187463443,0.7913095733158784,0.8865691223282656,0.8554116217772088,20.0,20.496,0.3654606028624634,235,82,(((((((((((x-Omega)-1)+x)*H0)+H0))**(0.5))+((((((H0)**(-1)))**(0.5)))**(-1))))**(2))-H0),(((((((((((sin(((1)**(0.5))))**(-1))/H0))**(-1)))**(2))*x)+(Omega*((H0)**(2)))))**(0.5)),[2.26672941 2.02024822],[10.63253976 -0.71523894]
2,0.07485111437606665,0.7916609146639979,0.8865691223282656,0.8818226993312012,20.0,20.682,0.4279620143638877,223,99,(((((cos((1+((1)**(0.5))))-x)/(((Omega*((H0)**(-1))))**(2)))+(((((1/H0))**(2)))**(-1))))**(0.5)),(((((((((((sin(((1)**(0.5))))**(-1))/H0))**(-1)))**(2))*x)+(Omega*((H0)**(2)))))**(0.5)),[10.89205044  1.1943734 ],[10.63253976 -0.71523894]
3,0.05981052772675001,0.7925524726566678,0.8865691223282656,0.8632800107256573,16.0,20.681,0.46600768481471344,219,78,(((((x+exp(((x*x)+log(((1)**(2))))))+Omega)*((H0)**(2))))**(0.5)),(((((((((((sin(((1)**(0.5))))**(-1))/H0))**(-1)))**(2))*x)+(Omega*((H0)**(2)))))**(0.5)),[ 3.3855803  -3.78598614],[10.63253976 -0.71523894]
4,0.06926441319964514,0.7917811130577614,0.8865691223282656,0.8383754089577267,12.0,20.574,0.46629249420575963,221,91,((((H0*1)/(1/((x*H0)-H0))))**(0.5)),(((((((((((sin(((1)**(0.5))))**(-1))/H0))**(-1)))**(2))*x)+(Omega*((H0)**(2)))))**(0.5)),[7.25249733 1.        ],[10.63253976 -0.71523894]
5,0.0882172377695313,0.8022062943797132,0.8889122397261067,0.8889122397261067,12.0,20.593,0.48218850535564467,228,116,(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[5.30768331 2.15505584],[5.30768331 2.15505584]
6,0.08097773084021478,0.7977241093722779,0.8889122397261067,0.8380857694026428,17.0,20.551,0.5479630062912961,251,106,(Omega/(((((log(x))**(-1)))**(0.5))*((H0*(((1/H0))**(2)))+(Omega/H0)))),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[9.27146083 4.33048078],[5.30768331 2.15505584]
7,0.0673883982485061,0.7881028965117264,0.8889122397261067,0.8431747666085729,17.0,20.714,0.4006414835293468,202,90,(((((Omega)**(2))/(x/(((log(x)+Omega)/((((H0)**(2)))**(-1)))-((H0)**(2))))))**(0.5)),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[7.32005534 0.98994953],[5.30768331 2.15505584]
8,0.07297174863579232,0.7915100034524761,0.8889122397261067,0.8467229302271736,15.0,20.679,0.3477274649534566,217,97,(((((((1+((x/(Omega+x))-Omega)))**(0.5))/x)/H0))**(-1)),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[ 7.23048591 -1.00912   ],[5.30768331 2.15505584]
9,0.06463242318949154,0.7953032593739142,0.8889122397261067,0.8878640925360689,18.0,20.678,0.5224641371550367,211,85,((((((Omega-(((exp(Omega)/((1)**(0.5))))**(0.5)))*1)+x)/(x/((H0)**(2)))))**(0.5)),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[ 9.38144396 -0.02065263],[5.30768331 2.15505584]
10,0.08156601698272672,0.793777731567592,0.8889122397261067,0.8533368455485701,16.0,20.545,0.42885350860659793,239,108,(((((((exp(1))**(2))/(Omega/Omega))+(x-Omega))*(H0*H0)))**(0.5)),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[7.05079788 8.39917905],[5.30768331 2.15505584]
11,0.07284976660029616,0.7932339302448616,0.8889122397261067,0.8328032211791442,18.0,20.485,0.40377112251739117,244,95,((((((cos((x*(log(x)*Omega)))*((H0)**(2)))-((H0)**(2))))**(0.5))+H0)-H0),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[6.63673056 6.28317768],[5.30768331 2.15505584]
12,0.08150068590531492,0.7964821880841171,0.8889122397261067,0.8685658640345438,17.0,20.325,0.5022187320094589,258,107,(((((log(((((((((1-1)+x))**(2)))**(2)))**(-1)))/1)+Omega)*((H0)**(2))))**(0.5)),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[3.89249227 0.04027356],[5.30768331 2.15505584]
13,0.06231560032853993,0.7885885722564534,0.8889122397261067,0.8591743354356463,18.0,20.739,0.7404082008464332,202,82,((((log((((((((sin((1-1))+Omega))**(0.5))+x))**(2))-1))-1))**(0.5))*H0),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[6.18011587 0.84302345],[5.30768331 2.15505584]
14,0.07464604045028875,0.7888444504684081,0.8889122397261067,0.8268526995454789,6.0,20.456,0.2899154261322086,241,98,((x-Omega)/((H0)**(-1))),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[15.3785656   0.96233953],[5.30768331 2.15505584]
15,0.08070985754177726,0.7962911776150261,0.8889122397261067,0.8323678156557622,10.0,20.447,0.41764618005721854,240,106,(H0/(((x+(((cos(Omega)-x))**(-1))))**(0.5))),(((sin(exp(((log(((x)**(-1)))-1)+Omega))))**(0.5))*H0),[6.47412921e+00 4.65308112e-06],[5.30768331 2.15505584]
16,0.07744011002606803,0.7970941339619252,0.8980332388191471,0.8980332388191471,16.0,20.544,0.5773249348874426,236,102,(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[ 6.33192112 -1.02034271],[ 6.33192112 -1.02034271]
17,0.0685722014667772,0.7943507359886436,0.8980332388191471,0.8390178833082625,18.0,20.544,0.4800240647435895,218,90,((((cos((((x-(((x*x))**(-1)))+1)-1))-1))**(0.5))/(x/H0)),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[15.91690042  1.        ],[ 6.33192112 -1.02034271]
18,0.06752184485236089,0.7883893219137137,0.8980332388191471,0.836565493561585,13.0,20.905,0.5131088023793823,206,90,(H0*((((sin((((1)**(-1))/Omega))-((x)**(2))))**(0.5))/x)),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[5.66444479 0.63662686],[ 6.33192112 -1.02034271]
19,0.07696870520078235,0.7929112391795363,0.8980332388191471,0.837408239134433,15.0,20.716,0.447660663599318,219,101,(((((sin(((1*1)-(1/x)))*H0)/H0))**(0.5))*H0),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[7.79358307 1.        ],[ 6.33192112 -1.02034271]
20,0.07366429858673036,0.7982872900943011,0.8980332388191471,0.8338214698848835,18.0,20.649,0.40733379482451004,231,96,(H0-(((((sin(((Omega/Omega)*1))-Omega)/(((x/H0))**(2))))**(0.5))-H0)),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[10.6357727  -3.00364012],[ 6.33192112 -1.02034271]
21,0.07695989247924359,0.7947685249292487,0.8980332388191471,0.8559773975335354,13.0,20.486,0.48912318977184954,230,102,(((((((((((x)**(2))+(Omega+x))+Omega))**(0.5)))**(-1))/H0))**(-1)),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[ 4.07817793 -1.01523546],[ 6.33192112 -1.02034271]
22,0.07839562411501634,0.7895368256343673,0.8980332388191471,0.8512310486784281,13.0,20.411,0.3163943817701118,248,104,((((((((cos(x)-Omega)/(((1*((H0)**(2))))**(-1))))**(-1)))**(0.5)))**(-1)),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[7.59049609 0.53177645],[ 6.33192112 -1.02034271]
23,0.07044896092706483,0.7976686307101254,0.8980332388191471,0.8839462896320631,11.0,20.544,0.6359156219355909,238,92,(((cos((x-(((exp(Omega))**(-1))/Omega))))**(0.5))*H0),(((((((x)**(2))+Omega)/sin(1)))**(0.5))/(x*((x/x)/H0))),[9.4129558 0.2899167],[ 6.33192112 -1.02034271]
