complexity,length,reward,rmse,expression,expression_prefix,H0,Omega
4,4,0.8207497106186518,0.5782889074097999,(log(x)*H0),[mul log x H0],28.275524471730165,1.0
5,5,0.8380928819375313,0.5115281341288838,(((log(x))**(0.5))*H0),[mul sqrt log x H0],7.498618139225509,1.0
7,7,0.8692269053887797,0.39836481681218416,((((Omega-x)*((H0)**(2))))**(0.5)),[sqrt mul sub Omega x n2 H0],7.698252088248318,1.0101210146678852
8,8,0.8701119175308486,0.3952664225046981,(1*(H0*(((x+Omega))**(0.5)))),[mul 1 mul H0 sqrt add x Omega],7.743870360846472,-1.0101210896624766
10,10,0.8824240601675031,0.3528067231477895,(H0*(((1-(x*(Omega*1))))**(0.5))),[mul H0 sqrt sub 1 mul x mul Omega 1],9.246721559727614,0.9897259095326695
11,11,0.8861730121883205,0.34011239395970044,((1/((sin((((log(Omega)+x))**(0.5))))**(-1)))*H0),[mul div 1 inv sin sqrt add log Omega x H0],9.632197758896758,0.36408023857185184
12,12,0.8916309891837025,0.321821970451422,(((sin(((((log(((x+Omega)+Omega)))**(2)))**(2))))**(0.5))*H0),[mul sqrt sin n2 n2 log add add x Omega Omega H0],5.921554109006935,1.3879878393443106
13,13,0.8974960934390576,0.30241517850881316,(((cos(exp((((Omega-((x)**(0.5))))**(2))))*(1*((H0)**(2)))))**(0.5)),[sqrt mul cos exp n2 sub Omega sqrt x mul 1 n2 H0],9.65491003858586,1.6770463527062849
14,14,0.9020828400957396,0.28741413401003707,(((sin((((((((x)**(2)))**(-1))/((Omega-Omega)+Omega)))**(2))))**(0.5))*H0),[mul sqrt sin n2 div inv n2 x add sub Omega Omega Omega H0],3.9959882762691703,0.5526568491443363
16,16,0.9082952888113702,0.2673377696857142,((((((((((Omega+log((x*1)))*x))**(0.5))*H0))**(-1))+((H0)**(-1))))**(-1)),[inv add inv mul sqrt mul add Omega log mul x 1 x H0 inv H0],12.597871206092355,-0.010069103929117973
19,19,0.9275293810467975,0.2068854887536878,(((((cos((((((x)**(0.5))/x)*((Omega*1)*x))+x)))**(0.5)))**(0.5))/(1/H0)),[div sqrt sqrt cos add mul div sqrt x x mul mul Omega 1 x x div 1 H0],4.394515508482652,0.5575302151034356
