epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.3111937891290353,0.515514097971138,0.9999975705514464,0.9999975705514464,23.0,28.725,0.4453432917530422,7535,7259,sin(log(((1/exp((f*t)))*((1+1)*phi)))),sin(log(((1/exp((f*t)))*((1+1)*phi))))
1,0.3055196924333507,0.5231349335970827,0.999999389177718,0.999999389177718,21.0,28.5661,0.6752418446947818,7389,7119,(cos(((f*t)-(phi-(((phi*exp(phi)))**(2)))))/1),(cos(((f*t)-(phi-(((phi*exp(phi)))**(2)))))/1)
2,0.29600208652926885,0.5212514781868451,0.999999793448948,0.999999793448948,25.0,28.4619,0.6347884974969064,7263,6945,(cos(((t*f)+(((exp((1*((((1)**(2)))**(-1)))))**(-1))+phi)))/1),(cos(((t*f)+(((exp((1*((((1)**(2)))**(-1)))))**(-1))+phi)))/1)
3,0.290171571550165,0.5314007235867267,0.9999999755631482,0.9999999755631482,25.0,28.177,0.8634046942087796,7110,6816,sin(((t+(phi/(((((exp(1)+((phi)**(2))))**(-1))*f)+f)))*f)),sin(((t+(phi/(((((exp(1)+((phi)**(2))))**(-1))*f)+f)))*f))
4,0.28299481132079796,0.5396776686520588,0.9999999755631482,0.9999990194306839,28.0,27.7526,1.0308463148385147,6923,6665,cos((log((((1)**(2))-exp(((phi)**(0.5)))))+((f-(f-f))*t))),sin(((t+(phi/(((((exp(1)+((phi)**(2))))**(-1))*f)+f)))*f))
5,0.27505523643161134,0.5505590062788597,0.9999999755631482,0.9999997687402002,21.0,27.1856,1.19784103934753,6747,6494,sin((((((((phi)**(0.5))/phi))**(-1))+(f*t))+(1*phi))),sin(((t+(phi/(((((exp(1)+((phi)**(2))))**(-1))*f)+f)))*f))
6,0.2734569625691608,0.5662745545980017,0.9999999755631482,0.9999999620157475,20.0,26.4721,1.6015681338452514,6628,6414,sin((phi+((f*(phi*t))-(f*(log(phi)*t))))),sin(((t+(phi/(((((exp(1)+((phi)**(2))))**(-1))*f)+f)))*f))
7,0.27935041861028653,0.5794348669621695,0.9999999755631482,0.9999998101389579,24.0,25.7468,1.8735847787946267,6763,6566,sin(((((f/(((((t)**(2))*(f*f))*f)/(t*f))))**(-1))+phi)),sin(((t+(phi/(((((exp(1)+((phi)**(2))))**(-1))*f)+f)))*f))
8,0.2874796806267713,0.59518789232665,0.9999999755631482,0.9999999621584007,14.0,24.9718,2.1645438320631873,6856,6643,sin((((phi*(t*(phi*f)))+phi)+phi)),sin(((t+(phi/(((((exp(1)+((phi)**(2))))**(-1))*f)+f)))*f))
9,0.3004390091046367,0.6214238922297787,0.9999999823335554,0.9999999823335554,18.0,24.1132,2.812526581397019,7003,6854,sin(((phi-((t*f)+(((phi+phi)+phi)+phi)))-phi)),sin(((phi-((t*f)+(((phi+phi)+phi)+phi)))-phi))
10,0.3301791565914019,0.6502507196307736,0.9999999945954761,0.9999999945954761,25.0,23.1463,3.3042732880386207,7509,7344,cos((phi+(phi-((((((((f*t)+phi)+phi)+phi)+phi)+phi)-phi)/phi)))),cos((phi+(phi-((((((((f*t)+phi)+phi)+phi)+phi)+phi)-phi)/phi))))
