epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
0,0.2634200915093829,0.5022419842016835,0.6319296638131847,0.6319296638131847,14.0,16.385,0.029102630537742813,7461,7171,((cos(-((-(f)/((t)**(-1)))))+phi)/(((f*t))**(0.5))),((cos(-((-(f)/((t)**(-1)))))+phi)/(((f*t))**(0.5))),[0.1        0.85814734 0.06301228],[0.1        0.85814734 0.06301228]
1,0.2575887669679904,0.5027263867576628,0.6319296638131847,0.6205499978781585,21.0,16.6021,0.04832690946448861,7358,7091,((sin(-((((-(((t*f)+(((1+phi))**(0.5))))+phi)*1)-1)))/f)*alpha0),((cos(-((-(f)/((t)**(-1)))))+phi)/(((f*t))**(0.5))),[ 0.17913085  0.80362003 -0.74998099],[0.1        0.85814734 0.06301228]
2,0.2551751401641054,0.5028154998410105,0.6319296638131847,0.6257168207719277,20.0,16.8608,0.05334956477915685,7233,6967,(phi*sin(((1-((((((t)**(2))--((((f/t))**(-1))))/((((alpha0)**(2)))**(-1))))**(0.5)))/phi))),((cos(-((-(f)/((t)**(-1)))))+phi)/(((f*t))**(0.5))),[-0.1649217   0.06015163  0.22993113],[0.1        0.85814734 0.06301228]
3,0.24861532525663846,0.5047253236936451,0.7450225876512503,0.7450225876512503,18.0,17.4615,0.11787065266220037,7046,6798,(((((phi+((t+(sin(-((alpha0*t)))/f))/t)))**(0.5))+1)-phi),(((((phi+((t+(sin(-((alpha0*t)))/f))/t)))**(0.5))+1)-phi),[0.73418245 0.08125908 2.99562889],[0.73418245 0.08125908 2.99562889]
4,0.24357719839319333,0.5047076436618001,0.7450225876512503,0.6099556414030249,14.0,18.0154,0.11597881838428367,6886,6625,-((cos(-((((alpha0*t)-phi)+((phi)**(-1)))))*((phi)**(2)))),(((((phi+((t+(sin(-((alpha0*t)))/f))/t)))**(0.5))+1)-phi),[-0.76216519  1.          0.43648492],[0.73418245 0.08125908 2.99562889]
5,0.2330248629049691,0.5048044739376822,0.7450225876512503,0.6189608448855068,16.0,18.7829,0.11941876005796248,6607,6371,((sin(-(log((alpha0/f))))+sin((-((t*f))+1)))*phi),(((((phi+((t+(sin(-((alpha0*t)))/f))/t)))**(0.5))+1)-phi),[-0.83807889  0.8117857   0.22197827],[0.73418245 0.08125908 2.99562889]
6,0.22766025419107483,0.5080048579328112,0.7450225876512503,0.6367692342889965,17.0,19.3706,0.2323568404222235,6453,6261,(((((((1/t))**(-1))/cos((((alpha0*log(phi))+alpha0)*t)))*alpha0))**(-1)),(((((phi+((t+(sin(-((alpha0*t)))/f))/t)))**(0.5))+1)-phi),[0.61201081 1.         1.50856709],[0.73418245 0.08125908 2.99562889]
7,0.2205595440141508,0.5086180848699478,0.7450225876512503,0.621784914558699,21.0,19.9736,0.24828191003057679,6274,6100,((sin((log((exp(((-(phi)+((f*t)-1))*phi))/phi))/phi))*alpha0)/f),(((((phi+((t+(sin(-((alpha0*t)))/f))/t)))**(0.5))+1)-phi),[-0.17768079  0.7914567   0.59419933],[0.73418245 0.08125908 2.99562889]
8,0.21816920696702952,0.5128973253538371,0.849156115868797,0.849156115868797,24.0,20.2027,0.37351653696883663,6215,6030,((cos((((((alpha0*(t*t))*phi)+t)*t)/(f*(t/(f/t)))))/t)/alpha0),((cos((((((alpha0*(t*t))*phi)+t)*t)/(f*(t/(f/t)))))/t)/alpha0),[0.33229094 1.         2.3620716 ],[0.33229094 1.         2.3620716 ]
9,0.22514570308669,0.5134957818095315,0.854867053212791,0.854867053212791,21.0,20.0503,0.37842144965874264,6337,6169,-((((sin(((((t*((alpha0/phi)-f))-phi)+phi)-phi))/t)/phi)/alpha0)),-((((sin(((((t*((alpha0/phi)-f))-phi)+phi)-phi))/t)/phi)/alpha0)),[0.12278605 0.82289953 2.66258627],[0.12278605 0.82289953 2.66258627]
