epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.012215474979246594,0.22451476748344326,0.5679312140815862,0.5679312140815862,14.0,32.0507,3.453818872395603,700,700,(((-((((2)**(-1))--(((1)**(-1)))))/-(L)))**(-1)),(((-((((2)**(-1))--(((1)**(-1)))))/-(L)))**(-1))
1,0.014243896678507686,0.24844905921222396,0.5679312140815862,0.5679312140815862,19.0,31.9305,3.618473642236635,803,803,(2/(1/-(((GM/(((GM/2)+GM)/L))-L)))),(((-((((2)**(-1))--(((1)**(-1)))))/-(L)))**(-1))
2,0.015997609811905823,0.2614524451186493,0.6049968984712932,0.6049968984712932,23.0,31.6341,3.577256480892751,932,932,(-(((((1/((((-(((1)**(2)))-1))**(0.5))/E0)))**(0.5))*b))+L),(-(((((1/((((-(((1)**(2)))-1))**(0.5))/E0)))**(0.5))*b))+L)
3,0.02077288121813368,0.300022728877472,0.6049968984712932,0.5729580099657748,25.0,31.1248,2.8277077869021188,1172,1172,((((-((-((1+((-((((1/2))**(-1))))**(0.5))))/((L)**(2)))))**(-1)))**(0.5)),(-(((((1/((((-(((1)**(2)))-1))**(0.5))/E0)))**(0.5))*b))+L)
4,0.025224895621522744,0.32834722950419365,0.6049968984712932,0.5717053947538759,27.0,30.2793,2.777645626154745,1391,1391,((((1)**(0.5))/2)*((((GM*-(((((L/L)*-((1/b))))**(-1)))))**(0.5))+L)),(-(((((1/((((-(((1)**(2)))-1))**(0.5))/E0)))**(0.5))*b))+L)
5,0.03543684095307049,0.3634494731492227,0.6049968984712932,0.5938670131964057,20.0,29.0718,1.826971603293842,1936,1936,-((-((b/(2*(1/-((((2*(1*E0)))**(0.5)))))))-L)),(-(((((1/((((-(((1)**(2)))-1))**(0.5))/E0)))**(0.5))*b))+L)
6,0.045767580812659525,0.37920480712010324,0.6492468944585191,0.6492468944585191,18.0,27.6898,2.1645717897952745,2561,2561,((((((GM*L)*(L*(L/((E0)**(0.5))))))**(0.5)))**(0.5)),((((((GM*L)*(L*(L/((E0)**(0.5))))))**(0.5)))**(0.5))
7,0.0663986503692563,0.4313578712584713,0.6888166864225266,0.6888166864225266,19.0,25.6507,2.807443230621004,3571,3571,(((L/((((E0/2)/((-(GM))**(2))))**(0.5))))**(0.5)),(((L/((((E0/2)/((-(GM))**(2))))**(0.5))))**(0.5))
8,0.08477110964445007,0.47896325849951416,0.6888166864225266,0.6888166864225266,25.0,23.9686,0.5098752968978557,4406,4406,(((((((((((2)**(-1))*(E0/1)))**(0.5))/L)*-(((-(GM))**(-1)))))**(-1)))**(0.5)),(((L/((((E0/2)/((-(GM))**(2))))**(0.5))))**(0.5))
9,0.09447401067289211,0.4836362122034138,0.6888166864225266,0.5729580099657748,24.0,22.9934,0.5375440068950237,4871,4871,(((-(((((2)**(0.5))*1)*-((L/((L)**(-1))))))-(L/(1/L))))**(0.5)),(((L/((((E0/2)/((-(GM))**(2))))**(0.5))))**(0.5))
10,0.10043908662584514,0.4857055629491579,0.6909776981106162,0.6909776981106162,25.0,22.3469,0.5865556169629496,5288,5288,((((1*L)/(((2/(GM*(((L*-((L/E0))))**(0.5)))))**(0.5))))**(0.5)),((((1*L)/(((2/(GM*(((L*-((L/E0))))**(0.5)))))**(0.5))))**(0.5))
