epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog
0,0.021110859496490594,0.42050431797912585,0.7972643467569236,0.7972643467569236,29.0,36.6734,8.8006376492642,516,516,((rs*((((1+((((((1-((1)**(-1)))/1))**(-1)))**(2))))**(2))*(((r*(1/rho0)))**(-1))))-rho0),((rs*((((1+((((((1-((1)**(-1)))/1))**(-1)))**(2))))**(2))*(((r*(1/rho0)))**(-1))))-rho0)
1,0.02711559194376615,0.4544329100086021,0.7972643467569236,0.7060933109004359,22.0,35.8644,2.0225890638104516,662,662,(((1)**(-1))/(r*(((((rho0*rs))**(-1))/1)/(1-((1)**(2)))))),((rs*((((1+((((((1-((1)**(-1)))/1))**(-1)))**(2))))**(2))*(((r*(1/rho0)))**(-1))))-rho0)
2,0.033884361137500214,0.4710307240207505,0.7972643467569236,0.7972643467569235,25.0,34.9627,1.6748162769703927,825,825,((((((((rho0/((r/rs)/((1)**(-1))))-rho0))**(2))/rho0)*rho0))**(0.5)),((rs*((((1+((((((1-((1)**(-1)))/1))**(-1)))**(2))))**(2))*(((r*(1/rho0)))**(-1))))-rho0)
3,0.04916573789182934,0.48657410968970277,0.7972643467569236,0.7972643467569235,31.0,33.9714,0.38202170238572586,1165,1165,((rho0*(1/((r/rho0)*(((1*(1/(((((1*(rho0/rs)))**(2)))**(-1)))))**(0.5)))))-rho0),((rs*((((1+((((((1-((1)**(-1)))/1))**(-1)))**(2))))**(2))*(((r*(1/rho0)))**(-1))))-rho0)
4,0.06542593876892687,0.4911099447312141,0.8067407345727216,0.8067407345727216,21.0,32.7957,0.4694950014397764,1546,1546,(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
5,0.08362809578134375,0.494054040004716,0.8067407345727216,0.7972643467569235,23.0,31.4403,0.518023768106359,1938,1938,((rho0/(((rho0*1)/(((rho0/1)/1)/r))/rs))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
6,0.10894318245999234,0.49594265865376175,0.8067407345727216,0.7972643467569236,24.0,29.9902,0.5348175461150955,2512,2512,((rs/((((rho0/1))**(-1))/((((r*rho0)*(1*((rho0)**(-1)))))**(-1))))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
7,0.1365004170125443,0.4997391875541917,0.8067407345727216,0.7972643467569237,30.0,28.5276,0.3239407073363405,3110,3110,((rho0/(1/((((((rho0/rs)/rho0))**(-1))*1)*(rho0*(((rho0/((r)**(-1))))**(-1))))))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
8,0.15630121857598014,0.5030845090259172,0.8067407345727216,0.7972643467569236,21.0,27.7123,0.38702520201179474,3507,3507,((((r*(((((((((1)**(-1))/rs))**(-1))/1)*rho0))**(-1))))**(-1))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
9,0.169024623080341,0.509612339900468,0.8067407345727216,0.7972643467569235,21.0,27.2334,0.5586968973930366,3771,3771,((rs/(((rho0*(rho0*((1/1)*(((rho0*r))**(-1))))))**(-1)))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
10,0.17280249082859608,0.5077851753763152,0.8067407345727216,0.7972643467569237,29.0,27.2253,0.5068460158286328,3853,3853,(((rho0/r)*(((rho0*(r/(r/(1/(rs/(1*(1/rho0))))))))**(-1)))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
11,0.1774582759067663,0.5191137144454904,0.8067407345727216,0.7972643467569237,31.0,27.3468,0.829349603121545,3947,3947,(((rho0*(((1/rho0))**(-1)))/((rho0)**(-1)))/(rho0/((rs/(rho0/((r)**(-1))))-((rho0)**(-1))))),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
12,0.1656461467954214,0.5119753215943524,0.8067407345727216,0.7972643467569236,29.0,27.7669,0.623332793577003,3733,3733,(((rho0/(((1*((1/rho0)*r))/1)*1))/(1/(((rho0/rs))**(-1))))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
13,0.1615480242004422,0.5296726829524075,0.8067407345727216,0.7972643467569236,23.0,28.1534,1.0635966772288825,3625,3625,(((1/(((((((r)**(-1))/((rho0)**(-1)))/1))**(-1))/1))*rs)-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
14,0.15384779359841466,0.5397050680541124,0.8067407345727216,0.7972643467569237,24.0,28.4479,1.2785115581398148,3491,3491,((rho0/(r/(((((1)**(-1))*(((rho0)**(-1))*(((rs/rho0))**(-1)))))**(-1))))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
15,0.1457401051961507,0.5413018152030379,0.8067407345727216,0.7972643467569236,27.0,28.7139,1.2974871319933445,3344,3344,((rs/((((rho0)**(-1))/(((((r/rs)/1)/1))**(-1)))/((rs)**(-1))))-rho0),(((rho0*((((r*((rs)**(-1))))**(-1))-(((1+1))**(0.5))))-rho0)+rho0)
16,0.1381384865319974,0.546758684500506,0.8540942809514087,0.8540942809514087,20.0,28.8437,1.4518878117024807,3217,3217,(((rs-r)/(rs+r))/(r/(rho0/(1/rs)))),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
17,0.13805638910963844,0.5552067483661949,0.8540942809514087,0.7972643467569236,18.0,28.6629,1.6366191382841997,3226,3226,((rs-r)*(((((1)**(-1))*((r/1)*((rho0)**(-1)))))**(-1))),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
18,0.1344069410414895,0.5632266784230539,0.8540942809514087,0.7972643467569237,25.0,28.5114,1.7724859073598704,3162,3162,(rs*((((((rs)**(-1))*rs)/r)/(1*(1/rho0)))-(((rs/rho0))**(-1)))),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
19,0.13004401497830295,0.5608662167179219,0.8540942809514087,0.7972643467569237,20.0,28.5322,1.7372363097619874,3087,3087,((rho0/((((rs/r)*((rs/1)*((rs)**(-1)))))**(-1)))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
20,0.1318388080839101,0.5577083621528803,0.8540942809514087,0.7972643467569237,26.0,28.0126,1.5920216403998846,3171,3171,(((r*((rs*((rs)**(-1)))*1))*(rs/(((rho0/(r/((r)**(-1)))))**(-1))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
21,0.1321572039494963,0.5727416007956067,0.8540942809514087,0.7972643467569237,16.0,27.7445,1.9403242940812782,3173,3173,((((((((1*rs))**(-1))*rho0)*rs)*rs)/r)-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
22,0.13332555099997825,0.5818545154963743,0.8540942809514087,0.7972643467569237,29.0,27.6485,2.2005483263538155,3214,3214,((rs*(rho0*((((1/rho0))**(-1))/((r/rs)/(1/(rho0/((rs)**(-1))))))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
23,0.13700306458929354,0.5812136142280616,0.8540942809514087,0.7972643467569237,18.0,27.4566,2.1311225033182093,3309,3309,((((r)**(-1))*((rs/1)*(((1*((rho0)**(-1))))**(-1))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
24,0.1373222167718056,0.6024728191184502,0.8540942809514087,0.8035391729959043,15.0,27.4088,2.643204046330747,3370,3370,((rs*(rho0/(1*r)))-(rho0/(1-1))),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
25,0.14161100955727002,0.6355159878165282,0.8540942809514087,0.7972643467569237,14.0,27.3469,3.3005739665807936,3439,3439,(((rs*(((rs)**(-1))*rs))*(rho0/r))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
26,0.15076946074672093,0.6320048790632294,0.8540942809514087,0.7972643467569238,22.0,27.0751,3.2370210685021075,3672,3672,((rs/(r*(((((((1)**(-1))/rs)*rs)/((rho0)**(-1))))**(-1))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
27,0.16198030303735922,0.7054894370772392,0.8540942809514087,0.7972643467569237,29.0,26.9673,4.741627871236193,3883,3883,((((((rs)**(-1))/(((rho0*((rs)**(-1)))/r)/(rho0*(((rs/((rho0)**(-1))))**(-1))))))**(-1))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
28,0.17134762969538864,0.7105987077960554,0.8540942809514087,0.7972643467569238,29.0,26.6052,4.738782738941957,4155,4155,((rs*(1/(((rho0/((((1/rho0)*1))**(-1)))/r)/(rho0/(r*r)))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
29,0.17669712064802973,0.7459613292405196,0.8540942809514087,0.7972643467569238,18.0,26.7077,3.1409171788725225,4267,4267,((rs*((((rs)**(-1))*rs)*(((r*(1/rho0)))**(-1))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
30,0.18690538549593513,0.7636424883757131,0.8540942809514087,0.7972643467569237,22.0,26.5768,3.515358014969794,4482,4482,((1/(r/(rs*(r/(r/(((1/rho0))**(-1)))))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
31,0.1970700256319117,0.7972643467569236,0.8540942809514087,0.7972643467569237,21.0,26.6522,-0.025371937889441056,4586,4586,((((r/(rho0*(((rho0*(((rs/((rho0)**(-1))))**(-1))))**(-1)))))**(-1))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
32,0.20526564028798044,0.7972643467569236,0.8540942809514087,0.7972643467569237,20.0,26.4307,-0.024972007860225416,4828,4828,((((r)**(-1))*(1/(((((rs)**(-1))*(rs*(rs*rho0))))**(-1))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
33,0.21588638969885382,0.7972643467569237,0.8540942809514087,0.7972643467569238,29.0,26.3748,-0.024537384659267945,4988,4988,(((((((r/(1*((rs/rho0)/rs))))**(-1))/1)*rs)*(rho0/(1/rho0)))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
34,0.2192443729018325,0.7972643467569237,0.8540942809514087,0.7972643467569237,21.0,26.4628,-0.024111169459803447,5015,5015,(((((rho0/rs))**(-1))*(rho0/(r/(((1/rho0))**(-1)))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
35,0.22521699726520747,0.7972643467569237,0.8540942809514087,0.7972643467569237,24.0,26.3336,-0.023785500144164865,5142,5142,((rs*(((((((((rs)**(-1))/1)*rs))**(-1))/(((r/rho0))**(-1))))**(-1)))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
36,0.2239121054785966,0.7972643467569237,0.8540942809514087,0.7972643467569237,25.0,26.4516,-0.023459260933190916,5099,5099,(((1/r)/(1*(((rho0*(((rho0/(rs/((rho0)**(-1)))))**(-1))))**(-1))))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
37,0.23097315082476053,0.7972643467569237,0.8540942809514087,0.7972643467569237,23.0,26.472,-0.02318139926866251,5188,5188,((((rho0/(1*r))/1)*(((rho0/(rs/((rho0)**(-1)))))**(-1)))-rho0),(((rs-r)/(rs+r))/(r/(rho0/(1/rs))))
