i_eq,noise,n_reals,target_formula,symbolic_solution,test_r2,accuracy_solution,test_r2_refit,accuracy_solution_refit,# EVALUATIONS,FINISHED
0,0.0,1,A*cos(omega*t + Phi),1.0,0.999999999999999,1.0,0.9999999999978928,1.0,198922.6,True
0,0.0,10,A*cos(omega*t + Phi),1.0,0.9953566869405776,0.2,0.9999999999988132,0.8,198990.4,True
0,0.001,1,A*cos(omega*t + Phi),1.0,0.9999999832652255,1.0,0.99999999999729,0.8,198561.2,True
0,0.001,10,A*cos(omega*t + Phi),1.0,0.9977301977396176,0.4,0.9999999999731388,1.0,199019.2,True
0,0.01,1,A*cos(omega*t + Phi),1.0,0.9999979557317034,1.0,0.998045736094516,0.4,198258.2,True
0,0.01,10,A*cos(omega*t + Phi),1.0,0.9944827815891736,0.4,0.9999999999970288,1.0,198974.8,True
0,0.1,1,A*cos(omega*t + Phi),1.0,0.9996762009722792,1.0,0.9999942820229488,1.0,199136.4,True
0,0.1,10,A*cos(omega*t + Phi),1.0,0.9836584094674996,0.0,0.9999999999962492,1.0,199024.2,True
1,0.0,1,n0*exp(-t/T),1.0,0.9999999999999992,1.0,0.9999999999983736,1.0,198878.8,True
1,0.0,10,n0*exp(-t/T),1.0,0.99999999983378,1.0,0.9999999999994884,1.0,198874.8,True
1,0.001,1,n0*exp(-t/T),1.0,0.9999998970502912,1.0,0.9999999999870054,1.0,198697.8,True
1,0.001,10,n0*exp(-t/T),1.0,0.9999999734696916,1.0,0.9999999999775298,0.8,199187.8,True
1,0.01,1,n0*exp(-t/T),1.0,0.9999857187962288,0.8,0.999999997415438,0.8,198879.8,True
1,0.01,10,n0*exp(-t/T),1.0,0.9999961910077776,1.0,0.9999999998559338,1.0,199392.6,True
1,0.1,1,n0*exp(-t/T),0.8,0.9990904503566052,0.6,0.9999999999910324,1.0,198987.0,True
1,0.1,10,n0*exp(-t/T),1.0,0.9996003379888684,1.0,0.999999999973033,0.8,198842.6,True
2,0.0,1,-0.5*9.81*t**2 + v0*t +z0,1.0,0.9999999999999996,1.0,0.9999999999999956,1.0,199176.0,True
2,0.0,10,-0.5*9.81*t**2 + v0*t +z0,1.0,0.9999999999995924,1.0,0.9999999999999768,1.0,199235.8,True
2,0.001,1,-0.5*9.81*t**2 + v0*t +z0,1.0,0.9999995964741396,1.0,0.9999999999976492,1.0,199146.2,True
2,0.001,10,-0.5*9.81*t**2 + v0*t +z0,1.0,0.9999999761587566,1.0,0.9999999999998628,1.0,199213.0,True
2,0.01,1,-0.5*9.81*t**2 + v0*t +z0,0.2,0.999957653831794,1.0,0.9999965024037007,1.0,199135.4,True
2,0.01,10,-0.5*9.81*t**2 + v0*t +z0,1.0,0.9999976436000476,1.0,0.9999999999936235,1.0,199225.2,True
2,0.1,1,-0.5*9.81*t**2 + v0*t +z0,0.0,0.9957206663383756,0.2,0.9990722268374004,0.6,198492.8,True
2,0.1,10,-0.5*9.81*t**2 + v0*t +z0,0.4,0.999722310184814,1.0,0.9999876038607808,1.0,199090.4,True
3,0.0,1,exp(-k*t)*cos(1.389*t + Phi),0.0,0.9653293940000413,0.0,0.9937258099838312,0.2,199259.4,True
3,0.0,10,exp(-k*t)*cos(1.389*t + Phi),0.0,0.9108686285319214,0.0,0.9953555008942184,0.0,199092.0,True
3,0.001,1,exp(-k*t)*cos(1.389*t + Phi),0.0,0.9767189551132622,0.0,0.987031508065652,0.0,198965.8,True
3,0.001,10,exp(-k*t)*cos(1.389*t + Phi),0.0,0.9019453490074064,0.0,0.9843195074034582,0.0,198799.8,True
3,0.01,1,exp(-k*t)*cos(1.389*t + Phi),0.0,0.9730252044810468,0.0,0.9929665668737152,0.2,199476.6,True
3,0.01,10,exp(-k*t)*cos(1.389*t + Phi),0.0,0.8742064214959853,0.0,0.9852780432186984,0.0,198560.0,True
3,0.1,1,exp(-k*t)*cos(1.389*t + Phi),0.0,0.9674945427436088,0.0,0.9792793698246188,0.0,198729.8,True
3,0.1,10,exp(-k*t)*cos(1.389*t + Phi),0.0,0.9246004044190566,0.0,0.9901779420973308,0.0,198992.2,True
4,0.0,1,exp(-0.345*t)*cos(omega*t + Phi),0.0,0.984270683877632,0.0,0.9942995973751902,0.2,198824.8,True
4,0.0,10,exp(-0.345*t)*cos(omega*t + Phi),0.6,0.885314310019748,0.0,0.9918691329454904,0.2,198948.2,True
4,0.001,1,exp(-0.345*t)*cos(omega*t + Phi),0.0,0.968001857543975,0.0,0.9925699695568208,0.0,199008.0,True
4,0.001,10,exp(-0.345*t)*cos(omega*t + Phi),0.6,0.9055021564851544,0.0,0.9828012280694182,0.0,198892.0,True
4,0.01,1,exp(-0.345*t)*cos(omega*t + Phi),0.0,0.9820703344990916,0.0,0.9789122818406704,0.0,198836.8,True
4,0.01,10,exp(-0.345*t)*cos(omega*t + Phi),0.2,0.932655989778605,0.0,0.9885844711987084,0.0,198999.0,True
4,0.1,1,exp(-0.345*t)*cos(omega*t + Phi),0.0,0.9828286554013196,0.0,0.9907351835306836,0.0,198718.6,True
4,0.1,10,exp(-0.345*t)*cos(omega*t + Phi),0.0,0.8950868952227181,0.0,0.9536166795045912,0.0,198815.6,True
5,0.0,1,1/(exp(5.90*nu/T)-1),1.0,0.9999999999819384,1.0,0.999999999873476,1.0,198910.4,True
5,0.0,10,1/(exp(5.90*nu/T)-1),1.0,0.9999989969161048,1.0,0.999999996974564,1.0,198796.8,True
5,0.001,1,1/(exp(5.90*nu/T)-1),1.0,0.9999999441868505,1.0,0.999999999906046,0.8,198958.4,True
5,0.001,10,1/(exp(5.90*nu/T)-1),1.0,0.9999995900744716,1.0,0.999999999766895,1.0,198922.4,True
5,0.01,1,1/(exp(5.90*nu/T)-1),0.6,0.9999925392669876,1.0,0.9999999996170764,1.0,198545.0,True
5,0.01,10,1/(exp(5.90*nu/T)-1),0.8,0.99999659619601,1.0,0.9999999972624272,1.0,198995.6,True
