EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0.01,0.399*exp(-theta**2/2),2733555,5,0,13.0,9.0,5,5,5,1.0,5.072369233216102e-10,2.0317073997474274e-05,0.9999998968395495,0.9999998961054439,1.0
1,PhySO,Feynman,feynman_I_6_2,1,0.01,0.399*exp(-theta**2/(2*sigma**2))/sigma,4973278,5,5,18.0,16.8,0,0,0,0.0,0.0001384130733574972,0.009239875845168341,0.9236681887160791,0.9232551120144781,0.0
2,PhySO,Feynman,feynman_I_6_2b,2,0.01,0.399*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,4980766,5,5,15.2,15.0,0,0,0,0.0,0.001061678419136648,0.02123853236371454,0.703587425421144,0.7075379311540699,0.0
3,PhySO,Feynman,feynman_I_8_14,3,0.01,((x1 - x2)**2 + (y1 - y2)**2)**0.5,4959980,5,5,22.0,19.4,True,True,True,0.2,inf,inf,0.0,0.0,0.0
4,PhySO,Feynman,feynman_I_9_18,4,0.01,G*m1*m2/((x1 - x2)**2 + (y1 - y2)**2 + (z1 - z2)**2),4960261,5,5,17.6,17.2,0,0,0,0.0,0.002579496611619254,0.0362979691255533,0.8338777184407193,0.8330940734635188,0.0
5,PhySO,Feynman,feynman_I_10_7,5,0.01,m_0/(1 - v**2/c**2)**0.5,4512892,5,3,18.4,16.6,2,2,2,0.4,2.6412604456691404e-07,0.0002533961565466532,0.9999998201812387,0.9999998201717094,1.0
6,PhySO,Feynman,feynman_I_11_19,6,0.01,x1*y1 + x2*y2 + x3*y3,4967944,5,5,15.6,12.4,5,5,4,1.0,3.519492159414687e-05,0.00453581724133817,0.9999995439994513,0.9999995437860182,1.0
7,PhySO,Feynman,feynman_I_12_1,7,0.01,Nn*mu,4246302,5,2,11.0,5.0,5,5,5,1.0,1.3823240990715044e-05,0.0027653699096779794,0.9999994581616036,0.9999994554001259,1.0
8,PhySO,Feynman,feynman_I_12_2,8,0.01,0.08*q1*q2/(epsilon*r**2),4411644,5,0,13.6,10.0,5,5,5,1.0,1.682509568803621e-10,7.053022608320057e-06,0.9999999785512875,0.9999999787551179,1.0
9,PhySO,Feynman,feynman_I_12_4,9,0.01,0.08*q1/(epsilon*r**2),2920659,5,0,9.0,9.0,5,5,5,1.0,1.2647714791321992e-12,6.550021122979293e-07,0.999999998225246,0.9999999982279787,1.0
10,PhySO,Feynman,feynman_I_12_5,10,0.01,Ef*q2,2316925,5,0,4.2,3.2,4,4,5,1.0,7.29264128747538e-06,0.002355294959657457,0.9999997176335516,0.99999971975762,0.8
11,PhySO,Feynman,feynman_I_12_11,11,0.01,q*(B*v*sin(theta) + Ef),4965040,5,5,13.4,9.0,5,5,5,1.0,1.1301631035253569e-05,0.002618283565634895,0.9999999832053096,0.999999983522541,1.0
12,PhySO,Feynman,feynman_I_13_4,12,0.01,0.5*m*(u**2 + v**2 + w**2),4961272,5,5,18.4,13.0,5,5,5,1.0,3.777651037052181e-05,0.0051627217901460305,0.9999999460746088,0.9999999464504544,1.0
13,PhySO,Feynman,feynman_I_13_12,13,0.01,G*m1*m2*(r1 - r2)/(r1*r2),3028652,5,1,15.6,15.0,5,5,5,1.0,6.508620005043036e-07,0.0004889531824110875,0.9999999923264631,0.9999999923294454,1.0
