,algorithm,data_group,dataset,EQ NB,random_state,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,symbolic_model,model_size,simplified_symbolic_model,simplified_complexity,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0,0.001,0.399*exp(-theta**2/2),995363,True,True,0.39898681640625*(1 - I)*exp(-0.5*theta**2),-I,False,False,True,,True,0.398934716592738*(-5.72613818768674e-7 - exp(-0.999999789347148*theta**2))**0.5,14.0,0.39898681640625*I*exp(-0.499999894673574*theta**2),9.0,inf,inf,0.0,0.0,False
1,PhySO,Feynman,feynman_I_6_2a,0,1,0.001,0.399*exp(-theta**2/2),994799,True,True,0,1,True,True,True,,True,0.452031149513007*exp(0.499981286064469*theta - 0.499981286064469*(theta + 0.499981286064469)**2),14.0,0.399*exp(-0.5*theta**2),8.0,5.516756530607597e-12,inf,0.9999999988664112,0.9999999988784996,True
2,PhySO,Feynman,feynman_I_6_2a,0,2,0.001,0.399*exp(-theta**2/2),996228,True,True,0.39898681640625*(1 - I)*exp(-0.5*theta**2),-I,False,False,True,,True,0.39894968822667*(-2.59933814209472e-7 - 1/(exp(theta**2) + 4.13712877844752e-8))**0.5,16.0,0.39898681640625*I*exp(-0.5*theta**2),9.0,inf,inf,0.0,0.0,False
3,PhySO,Feynman,feynman_I_6_2a,0,3,0.001,0.399*exp(-theta**2/2),996598,True,True,0,1,True,True,True,,True,-2.14675475622052e-6 + 0.398950132833661*exp(-0.5*theta**2),10.0,0.399*exp(-0.5*theta**2),8.0,2.2602977836182905e-12,inf,0.9999999995383828,0.9999999995390864,True
4,PhySO,Feynman,feynman_I_6_2a,0,4,0.001,0.399*exp(-theta**2/2),996086,True,True,0,1,True,True,True,,True,0.398957507477424*exp(-0.500019718003756*theta**2),8.0,0.399*exp(-0.5*theta**2),8.0,3.2100336751031196e-12,inf,0.9999999993465281,0.9999999993465161,True
5,PhySO,Feynman,feynman_I_6_2,1,0,0.001,0.399*exp(-theta**2/(2*sigma**2))/sigma,993920,True,True,-0.343017578125/(sigma + (-sigma + theta + 0.8680419921875)**2) + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,1.16345179080963*(sigma + (-sigma + theta + 0.8680419921875)**2)*exp(-theta**2/(2*sigma**2))/sigma,False,False,False,,False,0.343079579919023/(sigma + (sigma - theta - 0.868020478729606)**2),14.0,0.343/(sigma + (-sigma + theta + 0.868)**2),14.0,0.0001667763513438346,inf,0.9086136594701048,0.9084992695994888,False
6,PhySO,Feynman,feynman_I_6_2,1,1,0.001,0.399*exp(-theta**2/(2*sigma**2))/sigma,906940,True,False,-cos(log(8.56 + 2.93*(theta - 1.71*(0.342*theta**0.5 + 1)**0.5)/sigma)**0.5) + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(-theta**2/(2*sigma**2))/(sigma*cos(log(8.56 + 2.93*(theta - 1.71*(0.342*theta**0.5 + 1)**0.5)/sigma)**0.5)),False,False,False,,False,cos(log(8.56465365583855 - 2.92785586113241*(-theta + 1.71109785258833*(0.34154686823047*theta**0.5 + 1)**0.5)/sigma)**0.5),26.0,cos(log(8.56 + 2.93*(theta - 1.71*(0.342*theta**0.5 + 1)**0.5)/sigma)**0.5),24.0,0.00021967260063885817,inf,0.880350258263012,0.8793536504018774,False
7,PhySO,Feynman,feynman_I_6_2,1,2,0.001,0.399*exp(-theta**2/(2*sigma**2))/sigma,994438,True,True,-(sin(-0.26*sigma + 0.26*theta + 1.62) - 0.77099609375)/theta + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*theta*exp(-theta**2/(2*sigma**2))/(sigma*(sin(-0.26*sigma + 0.26*theta + 1.62) - 0.77099609375)),False,False,False,,False,-(0.770977397790942 - sin(-0.260096221294762*sigma + 0.260096221294762*theta + 1.62324126699241))/theta,18.0,(sin(-0.26*sigma + 0.26*theta + 1.62) - 0.771)/theta,15.0,0.00011002606661668677,inf,0.9394904007606273,0.9394194430835188,False
8,PhySO,Feynman,feynman_I_6_2,1,3,0.001,0.399*exp(-theta**2/(2*sigma**2))/sigma,995179,True,True,-0.126007080078125 + 0.126007080078125*theta/sigma - 0.22601318359375/sigma + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,0.39898681640625*exp(-theta**2/(2*sigma**2))/(0.126007080078125*sigma - 0.126007080078125*theta + 0.22601318359375),False,False,False,,False,(0.125529152917169*sigma - 0.125529152917169*theta + 0.22603244944896)/sigma,12.0,(0.126*sigma - 0.126*theta + 0.226)/sigma,12.0,0.00014160002689545,inf,0.922923339383829,0.9219605105461386,False
9,PhySO,Feynman,feynman_I_6_2,1,4,0.001,0.399*exp(-theta**2/(2*sigma**2))/sigma,995972,True,True,sigma/(sigma*(theta - 8.9375) - 1.55908203125*exp(theta) + 7.9375) + 0.39898681640625*exp(-theta**2/(2*sigma**2))/sigma,(-0.39898681640625*sigma*(theta - 8.9375) + 0.622053176164627*exp(theta) - 3.16695785522461)*exp(-theta**2/(2*sigma**2))/sigma**2,False,False,False,,False,-1/(theta - 8.9382564689302 - (1.55879395436418*exp(theta) - 7.9382564689302)/sigma),18.0,sigma/(sigma*(8.94 - theta) + 1.56*exp(theta) - 7.94),17.0,0.0001772249098912085,inf,0.9022370782633622,0.9018299552720699,False
10,PhySO,Feynman,feynman_I_6_2b,2,0,0.001,0.399*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,994368,True,True,-1/(sigma/((theta - theta1)**0.5 - 2.208984375) - 1)**2 + 0.39898681640625*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,0.39898681640625*(sigma/((theta - theta1)**0.5 - 2.208984375) - 1)**2*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,False,False,False,,False,(-1.0*sigma/((theta - theta1)**0.5 - 2.20874510566332) + 1.0)**(-2),18.0,(sigma/((theta - theta1)**0.5 - 2.21) - 1)**(-2),17.0,inf,inf,0.0,0.0,False
