EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0.1,0.399*exp(-theta**2/2),4960366,5,5,9.2,8.2,0,0,5,1.0,4.47934143246388e-08,0.00016942644306426328,0.9999908205581362,0.9999907695063007,0.8
1,PhySO,Feynman,feynman_I_6_2,1,0.1,0.399*exp(-theta**2/(2*sigma**2))/sigma,4974399,5,5,14.2,13.8,0,0,0,0.0,0.00013166312824203615,0.009061758518408998,0.9278337830072956,0.927944827554998,0.0
2,PhySO,Feynman,feynman_I_6_2b,2,0.1,0.399*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,4982531,5,5,16.6,16.0,0,0,0,0.0,0.0011403948692080277,0.021370377991028616,0.6785053353603181,0.6831126915582443,0.0
3,PhySO,Feynman,feynman_I_8_14,3,0.1,((x1 - x2)**2 + (y1 - y2)**2)**0.5,4957915,5,5,21.2,19.4,1,1,2,0.4,0.5747069521293215,0.5807136515466501,0.41167648373187304,0.4101913985660878,0.2
4,PhySO,Feynman,feynman_I_9_18,4,0.1,G*m1*m2/((x1 - x2)**2 + (y1 - y2)**2 + (z1 - z2)**2),4954387,5,5,18.6,17.4,0,0,0,0.0,0.0023962231609949963,0.03557936698957519,0.8426899269370588,0.8412400394167175,0.0
5,PhySO,Feynman,feynman_I_10_7,5,0.1,m_0/(1 - v**2/c**2)**0.5,4954579,5,5,19.2,19.4,0,0,0,0.0,inf,inf,0.0,0.0,0.4
6,PhySO,Feynman,feynman_I_11_19,6,0.1,x1*y1 + x2*y2 + x3*y3,4966400,5,5,11.2,11.2,5,5,4,1.0,0.00014959028515387868,0.010613393108045313,0.9999980697335645,0.999998078393072,1.0
7,PhySO,Feynman,feynman_I_12_1,7,0.1,Nn*mu,4966980,5,5,9.0,6.0,3,3,5,1.0,0.00012589922009959112,0.00721820895063285,0.999995144603895,0.9999951233574265,1.0
8,PhySO,Feynman,feynman_I_12_2,8,0.1,0.08*q1*q2/(epsilon*r**2),4956216,5,5,10.0,10.0,5,5,5,1.0,5.439471534129499e-09,4.030414786761718e-05,0.9999993057984318,0.9999993025574383,1.0
9,PhySO,Feynman,feynman_I_12_4,9,0.1,0.08*q1/(epsilon*r**2),4953179,5,5,9.4,9.0,5,5,5,1.0,5.943048766956687e-10,1.4325751949028403e-05,0.999999169418042,0.9999991681539261,1.0
10,PhySO,Feynman,feynman_I_12_5,10,0.1,Ef*q2,4952601,5,5,4.0,3.2,4,4,5,1.0,8.982226661469898e-05,0.008263540581673397,0.9999965102027019,0.9999965071095729,0.8
11,PhySO,Feynman,feynman_I_12_11,11,0.1,q*(B*v*sin(theta) + Ef),4962314,5,5,13.4,10.4,5,5,5,1.0,0.00087046371620302,0.02267010515332996,0.9999987332284886,0.9999987295284267,1.0
12,PhySO,Feynman,feynman_I_13_4,12,0.1,0.5*m*(u**2 + v**2 + w**2),4965593,5,5,19.0,17.0,1,1,1,0.2,0.00471340993810379,0.05247459285490575,0.9999932550460816,0.9999933525820388,1.0
13,PhySO,Feynman,feynman_I_13_12,13,0.1,G*m1*m2*(r1 - r2)/(r1*r2),4967713,5,5,17.4,16.2,4,4,5,1.0,0.00011148219935908465,0.006381854116543963,0.9999986981058412,0.9999986917389652,1.0
14,PhySO,Feynman,feynman_I_14_3,14,0.1,g*m*z,4954364,5,5,5.0,4.0,5,5,5,1.0,0.0003571338217022019,0.015397003063712819,0.9999990440347093,0.9999990418997555,1.0
15,PhySO,Feynman,feynman_I_14_4,15,0.1,0.5*k_spring*x**2,4953141,5,5,7.6,7.0,3,3,5,1.0,0.00047001773910333234,0.016738795190620555,0.9999971155318833,0.9999971273311449,0.8
16,PhySO,Feynman,feynman_I_15_3x,16,0.1,c**1.0*(-t*u + x)/(c**2 - u**2)**0.5,4960859,5,5,17.6,17.0,0,0,0,0.0,0.00994119012009792,0.05830345425376286,0.9960974676823262,0.9961966053704201,0.2
17,PhySO,Feynman,feynman_I_15_3t,17,0.1,(t - u*x/c**2)/(1 - u**2/c**2)**0.5,4957859,5,5,21.0,20.4,0,0,0,0.0,0.0018198859621363702,0.028494307318302752,0.9987969734817805,0.9987697380906307,0.4
18,PhySO,Feynman,feynman_I_15_1,18,0.1,m_0*v/(1 - v**2/c**2)**0.5,4953764,5,5,19.2,17.4,0,0,0,0.0,5.392908218699488e-05,0.00589420313699086,0.9999879486311908,0.9999878982790155,1.0
19,PhySO,Feynman,feynman_I_16_6,19,0.1,(u + v)/(1 + u*v/c**2),4961361,5,5,19.6,19.6,0,0,0,0.0,0.019324752668711954,0.0993904327277952,0.9848965711893254,0.9850705981189922,0.0
20,PhySO,Feynman,feynman_I_18_4,20,0.1,(m1*r1 + m2*r2)/(m1 + m2),4961883,5,5,15.0,12.4,0,0,0,0.0,0.05202135768021041,0.15288986032373397,0.9274027992343551,0.9273589976715745,0.0
21,PhySO,Feynman,feynman_I_18_12,21,0.1,F*r*sin(theta),4966621,5,5,9.4,7.4,4,4,5,1.0,0.000182201384400065,0.009735751394849546,0.9999966946910694,0.9999966302999252,1.0
