epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix,best_prog_of_epoch_free_const,overall_best_prog_free_const
0,0.2586441256793677,0.5013332748910879,0.5150294667534894,0.5150294667534894,15.0,16.333,-0.0034001650976422243,755,732,log(((cos(((((t)**(-1))/-(alpha0))-exp(((phi)**(0.5)))))+1)-1)),log(((cos(((((t)**(-1))/-(alpha0))-exp(((phi)**(0.5)))))+1)-1)),[log sub add cos sub div inv t neg alpha0 exp sqrt phi 1 1],[log sub add cos sub div inv t neg alpha0 exp sqrt phi 1 1],[0.23043693 1.         0.98835068],[0.23043693 1.         0.98835068]
1,0.26070928696377027,0.5025709248650719,0.5278245617511012,0.5278245617511012,17.0,16.081,0.04771333325258045,773,748,(((((exp(((sin(phi)+(((log(1)-phi))**(2)))-(t*alpha0))))**(0.5)))**(0.5))*phi),(((((exp(((sin(phi)+(((log(1)-phi))**(2)))-(t*alpha0))))**(0.5)))**(0.5))*phi),[mul sqrt sqrt exp sub add sin phi n2 sub log 1 phi mul t alpha0 phi],[mul sqrt sqrt exp sub add sin phi n2 sub log 1 phi mul t alpha0 phi],[ 6.94004865  1.         -3.94884998],[ 6.94004865  1.         -3.94884998]
2,0.24886443277353298,0.5016335712562959,0.5278245619127158,0.5278245619127158,14.0,16.677,0.008494805534875832,718,693,(exp(((((phi)**(2))-sin(1))/1))/-(exp((t*alpha0)))),(exp(((((phi)**(2))-sin(1))/1))/-(exp((t*alpha0)))),[div exp div sub n2 phi sin 1 1 neg exp mul t alpha0],[div exp div sub n2 phi sin 1 1 neg exp mul t alpha0],[1.73499205 1.         2.50876132],[1.73499205 1.         2.50876132]
3,0.2566241633859752,0.5027710032320547,0.5278245619127158,0.523146095946419,15.0,16.84,0.04560452813493551,726,702,log(sin(-(((phi/((((f*t))**(2))-(t/t)))+phi)))),(exp(((((phi)**(2))-sin(1))/1))/-(exp((t*alpha0)))),[log sin neg add div phi sub n2 mul f t div t t phi],[div exp div sub n2 phi sin 1 1 neg exp mul t alpha0],[0.1        0.45772031 1.46228143],[1.73499205 1.         2.50876132]
4,0.2573574547851274,0.5031163489661639,0.5295499057623331,0.5295499057623331,17.0,16.855,0.07093579893774776,722,697,(cos((exp((((t*alpha0)/(t/t))-(1+phi)))/phi))*phi),(cos((exp((((t*alpha0)/(t/t))-(1+phi)))/phi))*phi),[mul cos div exp sub div mul t alpha0 div t t add 1 phi phi phi],[mul cos div exp sub div mul t alpha0 div t t add 1 phi phi phi],[0.10771165 1.         0.11395846],[0.10771165 1.         0.11395846]
5,0.24462910271157465,0.5021434475252561,0.5295499057623331,0.5195683792868145,20.0,17.297,0.025821380462330887,704,674,cos((exp(((((-(log((((alpha0*(phi*t)))**(2))))-phi)/f)/t)/1))+1)),(cos((exp((((t*alpha0)/(t/t))-(1+phi)))/phi))*phi),[cos add exp div div div sub neg log n2 mul alpha0 mul phi t phi f t 1 1],[mul cos div exp sub div mul t alpha0 div t t add 1 phi phi phi],[0.91937748 0.30181966 0.27322209],[0.10771165 1.         0.11395846]
6,0.25275105576915774,0.5061331243149604,0.6074748029877313,0.6074748029877313,18.0,17.342,0.16119873987180494,728,695,(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[-0.07421104  0.82578896 -4.40550963],[-0.07421104  0.82578896 -4.40550963]
7,0.25204202242193136,0.5022681115861662,0.6074748029877313,0.5247341845697913,16.0,17.47,0.02667726166914932,725,697,(log(cos(((exp(((((alpha0*t))**(-1))-(t*(f+f)))))**(0.5))))/1),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[div log cos sqrt exp sub inv mul alpha0 t mul t add f f 1],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[0.09835378 0.4499068  1.        ],[-0.07421104  0.82578896 -4.40550963]
8,0.24414811379355733,0.5055843910032728,0.6074748029877313,0.5305834603874081,17.0,17.768,0.1478839781231347,691,665,(sin((((((log(((exp((((t*alpha0))**(-1))))**(-1)))/t)*t)-phi))**(2)))-phi),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[sub sin n2 sub mul div log inv exp inv mul t alpha0 t t phi phi],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[0.36151124 1.         0.86891211],[-0.07421104  0.82578896 -4.40550963]
9,0.2341960189042592,0.50286597128715,0.6074748029877313,0.5287304991811296,18.0,17.614,0.04843915190782885,683,656,log((sin(exp(((((((t*f))**(-1)))**(2))+(((phi*t)/t)+phi))))*phi)),(sin((-((-(((f-(((exp(phi)*t))**(-1)))+alpha0))*1))*t))/phi),[log mul sin exp add n2 inv mul t f add div mul phi t t phi phi],[div sin mul neg mul neg add sub f inv mul exp phi t alpha0 1 t phi],[0.1        0.75633186 1.01415528],[-0.07421104  0.82578896 -4.40550963]
