noise,frac_real,target_formula,symbolic_solution,test_r2,n_evals,is_finished
0.0,1e-06,E_t +A*R*log((1+(r/R)))/r,0.8125,0.9999973835753089,241917.375,True
0.0,0.25,E_t +A*R*log((1+(r/R)))/r,0.75,0.9999999999754593,242425.6875,True
0.0,0.5,E_t +A*R*log((1+(r/R)))/r,0.6875,0.9999999999226321,242931.0625,True
0.0,1.0,E_t +A*R*log((1+(r/R)))/r,0.75,0.9999999999258933,243528.4375,True
0.001,1e-06,E_t +A*R*log((1+(r/R)))/r,0.125,0.9999932255477102,242825.3125,True
0.001,0.25,E_t +A*R*log((1+(r/R)))/r,0.4375,0.9999999907675873,242799.75,True
0.001,0.5,E_t +A*R*log((1+(r/R)))/r,0.5625,0.9999999766888772,241972.5625,True
0.001,1.0,E_t +A*R*log((1+(r/R)))/r,0.8125,0.9999999976545566,242705.9375,True
0.01,1e-06,E_t +A*R*log((1+(r/R)))/r,0.0,0.9996368886878633,242541.6875,True
0.01,0.25,E_t +A*R*log((1+(r/R)))/r,0.125,0.9999996766710241,242733.4375,True
0.01,0.5,E_t +A*R*log((1+(r/R)))/r,0.1875,0.999999681686963,242544.5625,True
0.01,1.0,E_t +A*R*log((1+(r/R)))/r,0.4375,0.9999997814284007,243051.0,True
0.1,1e-06,E_t +A*R*log((1+(r/R)))/r,0.0,0.9984062075829752,241842.625,True
0.1,0.25,E_t +A*R*log((1+(r/R)))/r,0.0,0.9999750991722696,242492.375,True
0.1,0.5,E_t +A*R*log((1+(r/R)))/r,0.0,0.9999704253751402,242706.5625,True
0.1,1.0,E_t +A*R*log((1+(r/R)))/r,0.0,0.9999837528984783,243264.75,True
