m,x,y,z,vx,vy,vz,ra,dec,dis,vh,mu_r,mu_d,l,b,mu_l,mu_b,l_alt,phi1,phi2,mu_p1,mu_p2,sID
0.0,13.059744,-83.988091,-23.595764,-49.311564,90.647477,-37.023522,133.378717,-68.908627,89.787534,148.332119,-0.147101,0.174603,-75.809303,-15.236005,-0.228049,-0.010886,-75.809303,-111.952788,13.706638,0.027394,-0.226659,1
0.0,12.564133,-83.065419,-23.961404,-49.80937,93.893027,-36.099533,132.214446,-69.016949,88.905842,145.315759,-0.14218,0.179207,-75.979482,-15.635373,-0.228606,-0.008336,-75.979482,-111.530738,13.571793,0.024676,-0.227423,1
0.0,12.063586,-82.110115,-24.317631,-50.298538,97.173975,-35.140504,131.018614,-69.120823,87.995113,142.252052,-0.137051,0.183852,-76.151702,-16.042604,-0.229242,-0.005734,-76.151702,-111.100874,13.435487,0.021913,-0.228264,1
0.0,11.558192,-81.121817,-24.664085,-50.778681,100.492044,-34.144789,129.789711,-69.219905,87.055061,139.13867,-0.131699,0.188537,-76.32612,-16.458209,-0.22996,-0.003074,-76.32612,-110.662671,13.297617,0.019101,-0.229186,1
0.0,11.048044,-80.100146,-25.000391,-51.249364,103.84903,-33.110618,128.526155,-69.313811,86.085387,135.973143,-0.126107,0.193257,-76.502908,-16.882736,-0.230762,-3.51E-4,-76.502908,-110.21557,13.158075,0.016233,-0.230191,1
0.0,10.533239,-79.044703,-25.326155,-51.710101,107.246812,-32.036077,127.226292,-69.402114,85.085778,132.752842,-0.120256,0.198008,-76.682247,-17.316774,-0.231652,0.00244,-76.682247,-109.758966,13.016746,0.013305,-0.231282,1
0.0,10.013878,-77.95507,-25.640963,-52.160346,110.687357,-30.919106,125.888394,-69.484336,84.055912,129.474961,-0.114127,0.202784,-76.864332,-17.760963,-0.232633,0.005305,-76.864332,-109.292207,12.873509,0.010312,-0.232465,1
0.0,9.490069,-76.830809,-25.94438,-52.599489,114.172725,-29.757473,124.51066,-69.559947,82.99545,126.136511,-0.107699,0.207579,-77.049372,-18.215991,-0.233709,0.008251,-77.049372,-108.81459,12.728234,0.007247,-0.233743,1
0.0,8.961928,-75.671461,-26.235948,-53.026847,117.705073,-28.548768,123.09121,-69.628354,81.904042,122.734294,-0.100951,0.212384,-77.237594,-18.682607,-0.234884,0.011283,-77.237594,-108.32535,12.580783,0.004103,-0.235119,1
0.0,8.429575,-74.476546,-26.515182,-53.441658,121.286662,-27.290377,121.628092,-69.688896,80.781324,119.26489,-0.093858,0.217189,-77.429242,-19.161625,-0.236163,0.01441,-77.429242,-107.823658,12.431009,8.75E-4,-0.236601,1
0.0,7.893141,-73.245559,-26.781573,-53.843067,124.919864,-25.979463,120.11928,-69.740836,79.626918,115.724633,-0.086398,0.221983,-77.624581,-19.653933,-0.23755,0.017638,-77.624581,-107.308611,12.278754,-0.002445,-0.238192,1
0.0,7.352763,-71.977971,-27.034579,-54.230118,128.607167,-24.612944,118.562676,-69.783348,78.440432,112.109587,-0.078543,0.226752,-77.8239,-20.160497,-0.239051,0.020977,-77.8239,-106.779223,12.123848,-0.005866,-0.239898,1
0.0,6.808591,-70.673229,-27.273627,-54.601741,132.351182,-23.187466,116.956116,-69.815509,77.22146,108.415522,-0.070268,0.231479,-78.027514,-20.68238,-0.240672,0.024435,-78.027514,-106.234414,11.966108,-0.009395,-0.241727,1
0.0,6.260785,-69.330752,-27.498111,-54.956733,136.154647,-21.699373,115.297373,-69.836285,75.969585,104.637883,-0.061543,0.236145,-78.235768,-21.220745,-0.242419,0.028022,-78.235768,-105.673001,11.80534,-0.013041,-0.243684,1
0.0,5.709518,-67.949931,-27.707385,-55.293746,140.020436,-20.144668,113.584164,-69.844517,74.684372,100.771755,-0.052339,0.240729,-78.449041,-21.776876,-0.244299,0.031749,-78.449041,-105.093679,11.641329,-0.016815,-0.245779,1
0.0,5.154977,-66.530128,-27.90076,-55.611261,143.95156,-18.518984,111.81416,-69.838904,73.365378,96.811829,-0.042625,0.245206,-78.667752,-22.352188,-0.24632,0.035627,-78.667752,-104.49501,11.473846,-0.020726,-0.248019,1
0.0,4.597365,-65.070675,-28.077504,-55.90757,147.951178,-16.817527,109.984999,-69.81798,72.012144,92.752361,-0.03237,0.249546,-78.892364,-22.948251,-0.24849,0.039668,-78.892364,-103.875399,11.302643,-0.024786,-0.250413,1
0.0,4.036904,-63.570868,-28.236833,-56.180744,152.022592,-15.035037,108.094291,-69.780099,70.624202,88.587119,-0.021541,0.253717,-79.123393,-23.566806,-0.250819,0.043887,-79.123393,-103.233078,11.127446,-0.029007,-0.252972,1
0.0,3.473837,-62.029975,-28.377908,-56.428602,156.169257,-13.165721,106.139644,-69.723402,69.201075,84.309335,-0.010106,0.257681,-79.361414,-24.209798,-0.253317,0.048297,-79.361414,-102.566075,10.947961,-0.033402,-0.255707,1
0.0,2.908427,-60.447224,-28.499829,-56.648673,160.394771,-11.203189,104.118673,-69.645786,67.742276,79.911644,0.001968,0.261398,-79.607074,-24.879399,-0.255994,0.052913,-79.607074,-101.872182,10.763861,-0.037983,-0.258631,1
0.0,2.340967,-58.821807,-28.60163,-56.838152,164.702879,-9.140377,102.029025,-69.544874,66.247316,75.386015,0.014714,0.264819,-79.8611,-25.578049,-0.258863,0.057754,-79.8611,-101.148925,10.574793,-0.042766,-0.261757,1
0.0,1.771779,-57.152881,-28.682269,-56.993841,169.097458,-6.969456,99.868402,-69.417964,64.715705,70.723672,0.028163,0.267893,-80.124319,-26.308498,-0.261938,0.062836,-80.124319,-100.393512,10.380364,-0.047766,-0.2651,1
0.0,1.201218,-55.43956,-28.740623,-57.112095,173.582499,-4.68173,97.634579,-69.261984,63.146955,65.915012,0.042345,0.270562,-80.397671,-27.073859,-0.265233,0.068179,-80.397671,-99.602787,10.180144,-0.052998,-0.268678,1
0.0,0.629678,-53.680919,-28.775476,-57.188735,178.162086,-2.267515,95.325435,-69.073428,61.54059,60.949504,0.057286,0.272762,-80.682236,-27.877667,-0.268763,0.073803,-80.682236,-98.773161,9.973653,-0.058478,-0.272509,1
0.0,0.0576,-51.875992,-28.785509,-57.218968,182.840353,0.284001,92.938972,-68.848284,59.896154,55.815576,0.073011,0.274424,-80.97926,-28.723961,-0.272548,0.079729,-80.97926,-97.900537,9.760362,-0.064222,-0.276613,1
0.0,-0.514525,-50.023772,-28.769291,-57.197266,187.621429,2.98492,90.473343,-68.581941,58.213218,50.500494,0.089536,0.275474,-81.290194,-29.617372,-0.276605,0.085978,-81.290194,-96.980214,9.539679,-0.070246,-0.281013,1
0.0,-1.086148,-48.123211,-28.725261,-57.117245,192.509354,5.848826,87.926862,-68.269088,56.491401,44.990222,0.106874,0.275833,-81.616739,-30.563241,-0.280956,0.092571,-81.616739,-96.006773,9.310946,-0.076562,-0.285735,1
0.0,-1.656648,-46.17322,-28.651715,-56.971497,197.50797,8.891001,85.298025,-67.90357,54.730384,39.26927,0.125027,0.275419,-81.960908,-31.567759,-0.285624,0.099529,-81.960908,-94.973927,9.073421,-0.083181,-0.290806,1
0.0,-2.225328,-44.172674,-28.546784,-56.751396,202.62076,12.12869,82.585507,-67.478228,52.929938,33.320527,0.143986,0.274146,-82.325105,-32.638145,-0.290633,0.106867,-82.325105,-93.874346,8.826273,-0.090108,-0.296258,1
0.0,-2.791392,-42.120417,-28.408419,-56.446865,207.850627,15.581391,79.788152,-66.984683,51.089954,27.125084,0.163727,0.271933,-82.712236,-33.782865,-0.296009,0.114598,-82.712236,-92.699424,8.568562,-0.097338,-0.302125,1
0.0,-3.353942,-40.015267,-28.234362,-56.04608,213.19959,19.271211,76.904942,-66.413076,49.21049,20.66206,0.184206,0.268701,-83.125856,-35.011918,-0.301779,0.122724,-83.125856,-91.438996,8.299224,-0.104854,-0.308444,1
0.0,-3.911944,-37.856029,-28.022117,-55.535115,218.668363,23.223256,73.93495,-65.751723,47.29183,13.908438,0.205353,0.264384,-83.570374,-36.337186,-0.307974,0.13123,-83.570374,-90.08097,8.017051,-0.112617,-0.315256,1
0.0,-4.46422,-35.641507,-27.768924,-54.897509,224.255774,27.466084,70.877254,-64.98668,45.33456,6.838944,0.227066,0.258938,-84.05135,-37.772897,-0.31462,0.140078,-84.05135,-88.610849,7.720664,-0.120555,-0.322605,1
0.0,-5.009405,-33.370533,-27.471714,-54.113724,229.957955,32.032208,67.730822,-64.101169,43.339676,-0.573987,0.249193,0.252353,-84.57592,-39.336214,-0.321746,0.149193,-84.57592,-87.011124,7.408493,-0.128545,-0.330538,1
0.0,-5.545928,-31.041993,-27.127076,-53.160502,235.76723,36.958625,64.494357,-63.074836,41.308732,-8.360061,0.271521,0.244679,-85.153443,-41.048001,-0.329377,0.158436,-85.153443,-85.26047,7.078739,-0.136388,-0.339101,1
0.0,-6.071957,-28.654876,-26.731199,-52.010071,241.670566,42.28736,61.166086,-61.88276,39.244036,-16.550659,0.293744,0.23606,-85.796498,-42.93382,-0.337531,0.16758,-85.796498,-83.332693,6.729349,-0.143768,-0.34834,1
