i_trial,noise,frac_real,n_evals,is_finished,r2,reward,symbolic_solution,expression,test_r2,test_expression,test_expression_pre,result_analysis_time
0,0.0,1e-06,240234,True,0.9999999942706082,0.9999243129823604,False,log(0.856055545051618*(0.192629815745394*r + 1)**1.914/(r + 0.844015444015444)**1.914) + 1.354,0.99999655949702,1.912*log(0.174 + 1/(1.275*r + 1.091)) + 1.839,[add A sub mul add log add add inv add div r R exp c c c c A E_t],66.51762700080872
1,0.0,1e-06,242502,True,0.9999999999914329,0.999997073047184,True,-0.887 + 3.777*log(r + 1)/r,0.99999999998999,-1.766 + 3.777*log(r + 1)/r,[add E_t div A div r mul log div add R r R R],0.4213941097259521
2,0.0,1e-06,240245,True,0.9999999999672072,0.999994273544236,True,(-1.792*r + 3.777*log(-r - 1))/r,0.9940272403756832,-0.92 + 0.839*log(9.398*r - 1)/r,[add add sub mul E_t add mul log neg div add R r R div R r c E_t A A],22.269502878189087
3,0.0,1e-06,241213,True,0.9999999999829384,0.999995869455038,True,(-1.416*r + 3.777*log(-r - 1))/r,0.9999999999919752,-1.766 + 3.777*log(-r - 1)/r,[add add A E_t mul mul log div add R r neg R R div R div R inv div r A],21.763970851898193
10,0.0,1e-06,240662,True,0.9999999999914329,0.9999970730471838,True,-0.887 + 3.777*log(r + 1)/r,0.9999987044165354,-1.766 + 3.775*log(r + 1)/r,[add mul mul div log div add r div R div r r R r R E_t A],1.1671741008758545
11,0.0,1e-06,243136,True,0.99999999988851,0.9999894412309872,True,-2.053 + 3.778*log(r + 1)/r,0.9999968153853422,-1.766 - 3.777*log(1/(r + 1))/r,[sub A mul sub add mul div log div div R R add inv div R r 1.0 r R 1.0 c E_t],1.2929880619049072
12,0.0,1e-06,243381,True,0.999999999996579,0.9999981504232964,True,-1.514 + 3.777*log(r + 1)/r,0.9999951904321066,-1.69 + 3.485*log(1.072*r + 1)/r,[add A div mul log div add r add r R R R inv div c div r E_t],0.980679988861084
13,0.0,1e-06,240345,True,0.9999999999973854,0.999998383017116,True,(-1.57*r + 3.777*log(-r - 1))/r,0.9999999999946726,(-1.766*r + 3.777*log(-r - 1))/r,[sub add A mul div log add neg div r r div r R r div R inv A E_t],21.99243116378784
14,0.0,1e-06,241008,True,0.9999999910383484,0.9999053429606156,False,1.621 - 1.04*log(2.351*r + 1),0.9997083648101792,2.217 - 0.939*log(3.304*r + 1),[sub mul E_t log div add r add div R div R r R R A],26.948151111602783
15,0.0,1e-06,240593,True,0.9999999998932698,0.9999896690810955,True,-1.931 + 3.778*log(r + 1)/r,0.9999999996196132,-1.766 + 3.778*log(r + 1)/r,[add A add E_t sub mul mul div log div add r R R r R A A],0.4810781478881836
16,0.0,1e-06,241036,True,0.999999999979126,0.99999543121569,True,-1.626 + 3.777*log(r + 1)/r,0.9999970057499724,-1.766 + 3.777*log(r + 1)/r,[sub mul mul A div div log div add r R R c r R A],0.8310651779174805
17,0.0,1e-06,242436,True,0.9999999999940185,0.9999975542702008,True,1.0*(-1.296*r + 3.777*log(r + 1) - 0.000541385700549846)/r,0.9999972091705938,-1.732 - 3.643*log(2.908/(3*r + 2.908))/r,[sub mul mul log div R add r add add r R r r div R div r inv div r E_t A],1.2057111263275146
18,0.0,1e-06,244745,True,0.9999999994942748,0.9999775121711892,False,(-6.106*r + 5.407*exp(r/(r + 4.465)))/(1.871*r + 4.465*exp(r/(r + 4.465))),0.9999792266996328,1.966 - 33.647/(9.396 + 19.878*exp(r/(r + 19.878))/r),[sub sub add div E_t add div exp div r add R r div r R c E_t E_t A],165.02889108657837
19,0.0,1e-06,242818,True,0.9999999999976696,0.9999984734491724,True,-1.586 + 3.777*log(r + 1)/r,0.99999999999512,-1.766 + 3.777*log(r + 1)/r,[add sub E_t add mul log mul r add inv r inv R div R div r A E_t E_t],0.4404089450836181
20,0.0,1e-06,241371,True,0.9999999999976696,0.9999984734491724,True,-1.586 + 3.777*log(r + 1)/r,0.9999987046654656,-1.766 + 3.775*log(r + 1)/r,[neg sub mul sub add mul log div add r R R R r r inv div r E_t A],1.1073830127716064
21,0.0,1e-06,244953,True,0.9999999999829384,0.999995869455049,True,-1.416 - 3.777*log(-1/(r + 1))/r,0.999997557980024,-1.766 - 3.775*log(-1/(r + 1))/r,[sub A sub mul log div R neg add R r div R div r E_t E_t],49.24513792991638
0,0.0,0.25,244985,True,0.9999999999596308,0.9999936463548044,True,-2.254 + 3.777*log(r + 1)/r,0.9999999999763074,-1.766 + 3.777*log(r + 1)/r,[add add E_t add sub mul mul log add div r r div r R R div A r A E_t E_t],0.2776610851287842
1,0.0,0.25,240315,True,0.9999999999984984,0.999998774611823,True,-0.887 + 3.777*log(r + 1)/r,0.9999999999955532,-1.766 + 3.777*log(r + 1)/r,[add div div log add div r R div R R c div r div R inv A E_t],0.499202013015747
