territory;year;exports_from_usa;imports_to_usa
Aruba;2022;0.63963524;0.01506082
Afghanistan;2022;0.02174681;0.02380637
Angola;2022;0.65145497;1.63969162
Anguila;2022;0.08651083;0.00579686
Albania;2022;0.1178434;0.15213395
Andorra;2022;0.00351145;0.00995916
United Arab Emirates;2022;20.85148126;7.31401714
Argentina;2022;12.85039009;7.29153876
Armenia;2022;0.19293538;0.08514169
Fr. So. Ant. Tr;2022;0.00238196;0.00009081
Antigua and Barbuda;2022;1.02791997;0.00911731
Australia;2022;30.19763066;16.50482202
Austria;2022;4.74418214;18.42349788
Azerbaijan;2022;0.18275662;0.18478923
Burundi;2022;0.00507581;0.00787441
Belgium;2022;35.52338069;27.4739314
Benin;2022;0.28781377;0.00350503
Burkina Faso;2022;0.06666331;0.00670965
Bangladesh;2022;2.81386673;11.83478295
Bulgaria;2022;0.52272119;1.57313661
Bahrain;2022;0.95241694;2.02464364
Bahamas. The;2022;5.58967908;1.76905227
Bosnia and Herzegovina;2022;0.02943405;0.18344384
Belarus;2022;0.03934074;0.22408234
Belize;2022;0.55427052;0.06508584
Bermuda;2022;0.58129752;0.01451859
Bolivia;2022;0.51984461;0.66270591
Brazil;2022;53.57770716;41.37052013
Barbados;2022;0.81348812;0.05448399
Brunei;2022;0.11025064;0.09177289
Bhutan;2022;0.00489455;0.00031683
Botswana;2022;0.04548805;0.46430191
Central African Republic;2022;0.02541677;0.00091417
Canada;2022;354.88705126;446.62393361
Cocos (Keeling) Islands;2022;0.00203116;0.00145142
Switzerland;2022;36.89558929;60.13642998
Chile;2022;23.32798547;16.80140228
China;2022;153.83702241;575.68809117
Cote d'Ivoire;2022;0.5047999;1.11343348
Cameroon;2022;0.20207515;0.11587556
Congo. Rep.;2022;0.17992727;0.15442585
Cook Islands;2022;0.00628908;0.00104896
Colombia;2022;20.57303197;19.40127784
Comoros;2022;0.00223892;0.00562033
Cape Verde;2022;0.01564874;0.00712911
Costa Rica;2022;8.5253694;9.10941673
Cuba;2022;0.37171866;0.00560768
Curaçao;2022;0.49341825;0.05114471
Christmas Island;2022;0.00144289;0.0009084
Cayman Islands;2022;1.43791975;0.04856186
Cyprus;2022;0.12309774;0.07515488
Czech Republic;2022;3.79792052;7.84489233
Germany;2022;72.54970524;150.40849938
Djibouti;2022;0.18023102;0.04302504
Dominica;2022;0.19721684;0.0016079
Denmark;2022;4.50086139;13.22536781
Dominican Republic;2022;13.85333985;7.14332698
Algeria;2022;1.20059448;3.16640679
East Asia & Pacific;2022;478.33030326;1235.54615081
Europe & Central Asia;2022;491.17169122;744.04819167
Ecuador;2022;7.90192008;11.03926712
Egypt. Arab Rep.;2022;6.55279708;3.04317075
Eritrea;2022;0.03275188;0.00036017
Spain;2022;26.47969161;24.30359489
Estonia;2022;0.38306812;1.413689
Ethiopia(excludes Eritrea);2022;1.09437054;0.7464505
Finland;2022;2.65065145;8.99533026
Fiji;2022;0.06385321;0.38351456
Falkland Island;2022;0.00016409;0.03210859
France;2022;46.92879027;59.09142603
Faeroe Islands;2022;0.00155288;0.28947458
Micronesia. Fed. Sts.;2022;0.06315411;0.00229725
Gabon;2022;0.13350814;0.23511516
United Kingdom;2022;77.26101367;64.74555133
Georgia;2022;1.23623637;0.36168144
Ghana;2022;0.974497;2.83663608
Gibraltar;2022;0.18983623;0.00245238
Guinea;2022;0.12030199;0.00834985
Gambia. The;2022;0.0683105;0.00150903
Guinea-Bissau;2022;0.00236936;0.00001782
Equatorial Guinea;2022;0.07011252;0.23287403
Greece;2022;2.16989411;2.49918326
Grenada;2022;0.17650629;0.01878567
Greenland;2022;0.00737313;0.03676219
Guatemala;2022;10.23669615;5.79578481
Guyana;2022;1.17995387;2.88602115
Hong Kong. China;2022;25.81586621;4.9340946
Heard Island and McDonald Isla;2022;0.00002161;0.00140632
Honduras;2022;8.133436;6.36816084
Croatia;2022;1.76956896;0.88996254
Haiti;2022;1.43186281;1.08569598
Hungary;2022;2.87136379;7.89266623
Indonesia;2022;9.9860925;37.26306459
India;2022;47.33214004;90.99185318
British Indian Ocean Ter.;2022;0.00482341;0.00041435
Ireland;2022;15.95571286;82.50571578
Iran. Islamic Rep.;2022;0.04549685;0.01122695
Iraq;2022;0.94985191;10.34313064
Iceland;2022;0.65131244;0.75973271
Israel;2022;14.23275995;21.86529779
Italy;2022;27.41069446;71.87490742
Jamaica;2022;2.64379663;0.36693354
Jordan;2022;1.53982307;3.16212552
Japan;2022;80.30452618;154.44516154
Kazakhstan;2022;1.08502999;2.73737977
Kenya;2022;0.5997435;0.92467783
Kyrgyz Republic;2022;0.06146291;0.01006364
Cambodia;2022;0.44919082;13.09146062
Kiribati;2022;0.01015311;0.0017185
St. Kitts and Nevis;2022;0.17192221;0.03207707
Korea. Rep.;2022;71.46948866;120.8592564
Kuwait;2022;3.3982751;2.12658199
Lao PDR;2022;0.04026945;0.28356859
Lebanon;2022;0.76555118;0.22134537
Liberia;2022;0.2614552;0.08975785
Libya;2022;0.29096414;2.24581894
St. Lucia;2022;0.99135334;0.01193983
Latin America & Caribbean;2022;547.26077854;616.78665658
Sri Lanka;2022;0.33711965;3.64461314
Lesotho;2022;0.01061935;0.35941353
Lithuania;2022;2.49264363;2.77772505
Luxembourg;2022;1.66908691;0.77354403
Latvia;2022;0.39638474;0.80076809
Macao;2022;0.24960736;0.16711936
Morocco;2022;3.51238111;1.79859069
Moldova;2022;0.03867216;0.09802332
Madagascar;2022;0.08485829;0.93634537
Maldives;2022;0.09933315;0.02076336
Middle East & North Africa;2022;72.381809;88.6106134
Mexico;2022;324.37776894;459.17765636
Marshall Islands;2022;0.26900353;0.02057557
North Macedonia;2022;0.05483962;0.23822757
Mali;2022;0.08798488;0.00565848
Malta;2022;0.26734737;0.26336929
Myanmar;2022;0.13058897;1.13552508
Mongolia;2022;0.14887254;0.02724219
Montenegro;2022;0.0403021;0.00616741
Mozambique;2022;0.23006999;0.18052256
Mauritania;2022;0.15456154;0.00693855
Montserrat;2022;0.01091233;0.00166785
Mauritius;2022;0.10146952;0.30258738
Malawi;2022;0.03648328;0.05714728
Malaysia;2022;18.10278183;56.89664309
North America;2022;355.46834878;446.6384522
Namibia;2022;0.21792303;0.25420927
New Caledonia;2022;0.07706276;0.0463052
Niger;2022;0.09592965;0.07393531
Norfolk Island;2022;0.00005274;0.00027333
Nigeria;2022;3.37542929;4.88124887
Nicaragua;2022;2.57678787;5.89624443
Niue;2022;0.00048744;0.00264971
Netherlands;2022;72.87662227;35.60248584
Norway;2022;4.70465129;6.96479873
Nepal;2022;0.25826664;0.143254
Nauru;2022;0.0010215;0.00258645
New Zealand;2022;4.17384653;5.63393224
Other Asia. nes;2022;43.71024152;96.07530847
Oman;2022;1.48732074;2.98132262
Pakistan;2022;3.17744994;6.55991904
Panama;2022;12.03021244;0.54916899
Pitcairn;2022;0.00001373;0.00051471
Peru;2022;13.74570184;9.27234196
Philippines;2022;9.29072656;16.87657652
Palau;2022;0.02447551;0.00080243
Papua New Guinea;2022;0.1153672;0.07627868
Poland;2022;11.31175564;12.53287738
Korea. Dem. Rep.;2022;0;0.00002909
Portugal;2022;2.78302848;6.46633263
Paraguay;2022;2.11487895;0.2913554
Occ.Pal.Terr;2022;0.014007;0.01129998
French Polynesia;2022;0.14783639;0.04625705
Qatar;2022;3.64680986;3.02009954
Romania;2022;1.35010224;3.94215624
Russian Federation;2022;1.71507999;15.07104147
Rwanda;2022;0.06502936;0.05936289
South Asia;2022;54.04481751;113.21930887
Saudi Arabia;2022;11.56477799;24.14932015
Senegal;2022;0.34630597;0.50973779
Serbia. FR(Serbia/Montenegro);2022;0.27279679;0.90361389
Singapore;2022;46.16316105;32.14070629
Saint Helena;2022;0.00971822;0.02205834
