territory;imports_to_usa;exports_from_usa
China;401.40827;130.9870449
Mexico;466.62571;309.4207879
Vietnam;124.80116;11.69784792
Ireland;95.81159;15.30216918
Germany;146.72466;70.33919703
Taiwan;106.16842;38.72717336
Japan;135.76128;73.17870088
South Korea;120.51272;60.29698558
Canada;377.23862;322.4088582
Thailand;57.67016;16.18815468
India;80.12676;38.64596196
Italy;69.90635;30.23463403
Malaysia;47.66599;25.5329028
Indonesia;25.6113;9.236864188
France;55.04658;39.93374099
Austria;16.01226;4.164651285
Cambodia;11.69876;0.294622299
Sweden;16.54548;7.715743272
Hungary;11.23576;2.962453213
South Africa;13.19702;5.344858841
Slovakia;7.24557;0.450266459
Israel;20.17745;13.47882488
Bangladesh;7.70991;2.050933133
Iraq;6.91335;1.531389679
Slovenia;5.55972;0.274969902
Finland;7.33904;2.40348659
Philippines;12.93884;8.4929729
Guyana;5.10365;1.230513264
Denmark;9.08787;5.476214164
Czech Republic;7.42681;3.921910956
Portugal;6.11251;2.931016277
Pakistan;4.68019;1.940566785
Sri Lanka;2.79035;0.337303168
Romania;3.57611;1.180274407
Russia;2.88154;0.488141134
Turkey;15.39961;13.53530179
Venezuela;5.36932;3.83082697
Poland;12.47868;11.06894598
Bulgaria;1.34592;0.407284425
Laos;0.69247;0.038090328
Madagascar;0.66943;0.051540936
Estonia;0.96508;0.351186246
Serbia;0.73462;0.191779864
Ivory Coast;0.94036;0.53182216
Faroe Islands;0.22827;0.001319171
Lesotho;0.18752;0.002446865
Mauritius;0.21644;0.044430511
Saudi Arabia;12.03319;11.9050994
Bosnia and Herzegovina;0.16621;0.050656579
Latvia;0.57927;0.511069806
DR Congo;0.26873;0.217880068
Lithuania;1.79289;1.751085269
Falkland Islands;0.02276;0.004092467
San Marino;0.02308;0.005266683
Croatia;0.93782;0.92424892
Iceland;0.89209;0.879136004
Belarus;0.01851;0.009662998
Gabon;0.16906;0.162394116
Saint Pierre and Miquelon;0.00344;5.1169e-05
Niue;0.00378;0.000648447
Nepal;0.11228;0.10990763
New Caledonia;0.02933;0.027568371
Bhutan;0.00322;0.002790762
Mayotte;0.00177;0.001739977
Wallis and Futuna;4e-05;4.9438e-05
Tokelau;0.00016;0.000251667
Tuvalu;0.00022;0.000554575
Sao Tome and Principe;0.00054;0.001017157
Vatican City;0.00017;0.00098339
Andorra;0.00325;0.004647259
North Korea;6e-05;0.001528597
Burundi;0.00355;0.006196771
Guinea-Bissau;0.00012;0.003199725
Comoros;0.00148;0.004684903
Kiribati;0.00068;0.004086818
Cook Islands;0.00086;0.006415214
Albania;0.12287;0.128723089
Montserrat;0.00529;0.011362261
Cape Verde;0.00422;0.011610434
Seychelles;0.00657;0.015469135
Solomon Islands;0.00129;0.010434718
Montenegro;0.01468;0.027035901
Timor-Leste;0.00497;0.018500988
Tonga;0.00225;0.018567101
Rwanda;0.02457;0.041249364
Palau;0.00192;0.019109224
Greenland;0.02597;0.044203931
French Guiana;0.00147;0.020528061
Eswatini;0.02168;0.043509378
Armenia;0.111;0.142721091
Sudan;0.01237;0.044707826
Central African Republic;0.00133;0.034275118
Niger;0.0079;0.041997572
Eritrea;0.00085;0.037475441
Mali;0.00537;0.047134842
Micronesia;0.00243;0.045875892
Somalia;0.00238;0.045926823
Burkina Faso;0.00451;0.049287372
Tajikistan;0.00192;0.04670017
Samoa;0.00488;0.050670945
South Sudan;0.00033;0.049274992
Dominica;0.00214;0.054958587
Kenya;0.6634;0.716603722
Turkmenistan;0.014;0.076730265
Anguilla;0.00114;0.064844653
Gambia;0.00184;0.07193884
Maldives;0.00447;0.080150036
Iran;0.00588;0.086022338
Sierra Leone;0.02791;0.109672646
Azerbaijan;0.15374;0.242195926
Djibouti;0.03528;0.1313969
French Polynesia;0.03743;0.134398129
Yemen;0.00849;0.111189569
Marshall Islands;0.01764;0.120651074
Liberia;0.06103;0.166021234
Kyrgyzstan;0.01576;0.122630296
Mauritania;0.00276;0.119762512
Monaco;0.04254;0.161718916
Cyprus;0.0511;0.171151742
Guinea;0.00603;0.127964477
Saint Vincent and the Grenadines;0.00777;0.134652008
Saint Kitts and Nevis;0.01816;0.147208798
Grenada;0.01343;0.146629791
Benin;0.04766;0.194340519
Malta;0.20062;0.355138932
Togo;0.08747;0.24510463
Macau;0.10168;0.259804868
Senegal;0.1537;0.321921437
Martinique;0.00276;0.189600433
Republic of the Congo;0.0345;0.22273538
British Virgin Islands;0.05943;0.285319453
Lebanon;0.23617;0.477902483
Suriname;0.0846;0.35464411
Uzbekistan;0.03916;0.319919187
Greece;2.07964;2.362851673
Mongolia;0.02344;0.370275406
Tanzania;0.19227;0.545842554
Ethiopia;0.42361;0.823239838
Uruguay;1.11969;1.539024084
Guadeloupe;0.00311;0.425748063
Luxembourg;0.64071;1.086186708
Ukraine;1.08416;1.534079546
Bahrain;1.09559;1.550465841
Belize;0.07694;0.552822922
Bermuda;0.02251;0.509320034
Antigua and Barbuda;0.023;0.528340141
Cuba;0.00487;0.531232687
Haiti;0.56874;1.125865533
Sint Maarten;0.08223;0.657999872
Oman;1.2125;1.790317482
Gibraltar;0.00043;0.645825095
Turks and Caicos Islands;0.01045;0.658842117
Aruba;0.01007;0.661638531
Barbados;0.04446;0.715717047
Kuwait;1.53678;2.213297384
Curacao;0.03028;0.759207435
Saint Lucia;0.006;0.960699287
Colombia;16.21012;17.2417456
Cayman Islands;0.04656;1.143928328
Qatar;1.77352;3.133168852
Georgia;0.16043;1.562936412
Honduras;5.12705;6.567905593
Chile;15.0765;16.68193887
Argentina;6.40755;8.297920025
El Salvador;2.12861;4.177707076
Peru;8.1959;10.25434602
